Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_132_1059,VDD,Metal1,528.9600,525.4200,1.200000
FILLER_132_1052,VDD,Metal1,526.8090,524.8210,1.200000
FILLER_132_1045,VDD,Metal1,523.4490,524.8210,1.200000
FILLER_132_1038,VDD,Metal1,520.0890,524.8210,1.200000
FILLER_132_1031,VDD,Metal1,516.7290,524.8210,1.200000
FILLER_132_1024,VDD,Metal1,513.3690,524.8210,1.200000
FILLER_132_1017,VDD,Metal1,510.0090,524.8210,1.200000
FILLER_132_1010,VDD,Metal1,506.6490,524.8210,1.200000
FILLER_132_1003,VDD,Metal1,503.2890,524.8210,1.200000
FILLER_132_996,VDD,Metal1,499.9290,524.8210,1.200000
FILLER_132_989,VDD,Metal1,496.5690,524.8210,1.200000
FILLER_132_982,VDD,Metal1,493.2090,524.8210,1.200000
FILLER_132_975,VDD,Metal1,489.8490,524.8210,1.200000
FILLER_132_968,VDD,Metal1,486.4890,524.8210,1.200000
FILLER_132_961,VDD,Metal1,483.1290,524.8210,1.200000
FILLER_132_954,VDD,Metal1,479.7690,524.8210,1.200000
FILLER_132_947,VDD,Metal1,476.4090,524.8210,1.199999
FILLER_132_940,VDD,Metal1,473.0490,524.8210,1.199999
FILLER_132_933,VDD,Metal1,469.6890,524.8210,1.199999
FILLER_132_926,VDD,Metal1,466.3290,524.8210,1.199999
FILLER_132_919,VDD,Metal1,462.9690,524.8210,1.199999
FILLER_132_912,VDD,Metal1,459.6090,524.8210,1.199999
FILLER_132_905,VDD,Metal1,456.2490,524.8210,1.199999
FILLER_132_885,VDD,Metal1,445.4400,525.4200,1.199997
FILLER_132_881,VDD,Metal1,444.0110,524.8230,1.199997
FILLER_132_874,VDD,Metal1,441.3690,524.8210,1.199997
FILLER_132_867,VDD,Metal1,438.0090,524.8210,1.199997
FILLER_132_845,VDD,Metal1,427.4490,524.8210,1.199996
FILLER_132_838,VDD,Metal1,424.0890,524.8210,1.199996
FILLER_132_831,VDD,Metal1,420.7290,524.8210,1.199996
FILLER_132_814,VDD,Metal1,411.1200,525.4200,1.199999
FILLER_132_812,VDD,Metal1,410.4000,525.4200,1.199999
FILLER_132_795,VDD,Metal1,402.0000,525.4200,1.200000
FILLER_132_793,VDD,Metal1,401.2800,525.4200,1.200000
FILLER_132_786,VDD,Metal1,399.1290,524.8210,1.200000
FILLER_132_779,VDD,Metal1,395.7690,524.8210,1.200000
FILLER_132_772,VDD,Metal1,392.4090,524.8210,1.200000
FILLER_132_758,VDD,Metal1,384.4800,525.4200,1.200000
FILLER_132_751,VDD,Metal1,382.3290,524.8210,1.200000
FILLER_132_739,VDD,Metal1,376.5690,524.8210,1.200000
FILLER_132_734,VDD,Metal1,372.7200,525.4200,1.200000
