Metric,Value
route__vias__multicut,0
design__instance__count__class:antenna_cell,10
design__instance__area__class:antenna_cell,54.432
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,1469.7
design__instance__count__class:fill_cell,15785
design__instance__area__class:fill_cell,126868
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,59
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,59
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,59
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,59
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_typ_1p20V_25C,1.19628
design_powergrid__drop__average__net:VPWR__corner:nom_typ_1p20V_25C,1.19994
design_powergrid__drop__worst__net:VPWR__corner:nom_typ_1p20V_25C,0.0037152
design_powergrid__voltage__worst__net:VGND__corner:nom_typ_1p20V_25C,0.00469305
design_powergrid__drop__average__net:VGND__corner:nom_typ_1p20V_25C,0.0000566463
design_powergrid__drop__worst__net:VGND__corner:nom_typ_1p20V_25C,0.00469305
design_powergrid__voltage__worst,0.00469305
design_powergrid__voltage__worst__net:VPWR,1.19628
design_powergrid__drop__worst,0.00469305
design_powergrid__drop__worst__net:VPWR,0.0037152
design_powergrid__voltage__worst__net:VGND,0.00469305
design_powergrid__drop__worst__net:VGND,0.00469305
ir__voltage__worst,1.1999999999999999555910790149937383830547332763671875
ir__drop__avg,0.000062999999999999999901988123607310399165726266801357269287109375
ir__drop__worst,0.003720000000000000216215934045749236247502267360687255859375
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
