net,length_um
clknet_0_clkA,1.55155mm
net1043,960.455µm
_08068_,942.425µm
net251,696.19µm
net216,686.795µm
_03357_,619.83µm
net126,600.69µm
net457,600.665µm
net123,596.375µm
net234,568.355µm
net411,558.49µm
net367,554.615µm
net942,546.55µm
net158,544.495µm
clkA,518.59µm
net410,508.045µm
net871,501.91µm
net550,491.23µm
net911,484.935µm
net929,477.43µm
_07917_,471.825µm
net957,466.225µm
net1641,458.735µm
net1668,454.06µm
_07923_,452.855µm
_08494_,452.665µm
net163,443.015µm
net196,434.995µm
net556,432.14µm
net105,423.24µm
net160,420.45µm
_07922_,415.88µm
net237,414.255µm
net194,414.055µm
net89,413.945µm
u_FIR.x_reg\[6\],411.785µm
net249,409.61µm
net321,407.055µm
_07986_,406.68µm
net148,406.095µm
net162,398.975µm
net174,398.225µm
net141,395.635µm
net440,393.56µm
net178,389.805µm
net137,383.46µm
net97,382.165µm
net2200,373.075µm
net409,370.86µm
clknet_4_8_0_clkA,369.26µm
net125,367.935µm
net2067,361.43µm
_08102_,360.52µm
net1009,359.01µm
u_FIR.x_reg\[2\],354.5µm
net143,348.31µm
net179,347.305µm
net385,344.35µm
_07723_,343.325µm
net2198,342.06µm
net470,339.575µm
net197,339.185µm
u_FIR.x_reg\[4\],336.425µm
net252,335.45µm
net1647,328.725µm
net462,328.65µm
net236,323.87µm
net415,319.5µm
_07721_,318.99µm
net1654,318.745µm
_07725_,315.46µm
net159,315.36µm
net199,314.425µm
u_FIR.x_reg\[1\],313.32µm
net466,313.18µm
net885,312.695µm
net266,312.5µm
net941,310.5µm
net898,308.37µm
net548,307.385µm
net88,306.54µm
net114,305.885µm
net260,305.605µm
net412,302.495µm
_07880_,301.375µm
u_FIR.x_reg\[7\],300.715µm
net157,299.175µm
_01657_,295.435µm
net195,295.125µm
net181,294.8µm
net877,293.145µm
net102,291.3µm
net416,290.985µm
_08500_,290.935µm
_07884_,290.22µm
net187,289.81µm
net82,287.65µm
_07719_,286.77µm
_07876_,286.42µm
net139,284.7µm
_07882_,284.37µm
net1000,284.03µm
clknet_4_7_0_clkA,283.62µm
_07991_,283.035µm
net1648,282.62µm
_03353_,281.27µm
net816,275.525µm
_07715_,275.09µm
net104,274.215µm
net175,272.86µm
_03296_,270.97µm
net248,270.195µm
_08501_,269.325µm
net514,268.94µm
net1664,267.395µm
net239,266.89µm
net805,266.505µm
u_FIR.x_reg\[5\],265.915µm
_07878_,265.685µm
_07717_,264.63µm
net472,264.42µm
net940,262.46µm
net808,262.25µm
net2,262.055µm
net111,259.33µm
clknet_4_10_0_clkA,257.8µm
net207,257.405µm
_07874_,257.265µm
net109,257.265µm
net140,254.935µm
_03308_,254.235µm
net414,253.49µm
net152,253.095µm
net569,252.95µm
net91,252.45µm
net243,251.305µm
_07987_,251.285µm
_08491_,251.28µm
net173,251.21µm
clknet_4_2_0_clkA,250.22µm
clknet_leaf_14_clkA,250.05µm
net376,249.71µm
clknet_4_13_0_clkA,246.825µm
clknet_4_0_0_clkA,244.58µm
net108,243.35µm
clknet_leaf_8_clkA,242.935µm
net939,242.715µm
net959,241.13µm
u_FIR.w\[7\]\[6\],241.055µm
net567,240.985µm
net831,239.935µm
net459,238.91µm
net177,238.775µm
net176,238.255µm
net889,238.23µm
clknet_leaf_46_clkA,237.91µm
clknet_leaf_2_clkA,237.22µm
net1042,235.58µm
net464,235.185µm
net469,235.08µm
net130,234.975µm
net1032,234.75µm
net265,234.415µm
net850,233.83µm
net95,233.685µm
net92,233.08µm
net549,232.33µm
net2207,232.115µm
net221,231.78µm
net837,231.695µm
net98,231.505µm
net900,231.48µm
net690,231.18µm
net970,231.17µm
net734,230.33µm
net220,230.275µm
clknet_4_5_0_clkA,230.095µm
clknet_4_15_0_clkA,229.845µm
u_LMS.x_r\[1\]\[1\],229.3µm
net366,228.935µm
net180,227.205µm
u_FIR.w\[0\]\[6\],226.28µm
spi_sclk,226.24µm
net186,225.565µm
net539,225.315µm
_08493_,224.53µm
net167,224.09µm
net439,223.695µm
net928,223.355µm
coeff_force_packed\[48\],221.755µm
net935,221.72µm
net731,221.02µm
net242,220.805µm
net910,220.795µm
net146,219.49µm
_07844_,217.74µm
net644,216.77µm
_03274_,215.985µm
clknet_leaf_63_clkA,215.605µm
net486,215.02µm
net461,214.4µm
net238,213.31µm
net208,213.225µm
net294,213.13µm
net320,212.865µm
coeff_force_packed\[12\],212.43µm
net1652,212.4µm
net859,212.04µm
net711,210.35µm
net1008,210.29µm
net1661,210.2µm
net235,210.1µm
u_FIR.w\[7\]\[4\],209.945µm
net94,208.44µm
net1003,208.405µm
u_LMS.x_r\[1\]\[7\],207.58µm
net53,207.365µm
net946,207.185µm
net372,207.08µm
net1041,206.77µm
net1663,206.23µm
_07864_,205.76µm
_08554_,205.6µm
_09591_,204.07µm
net81,203.9µm
_03278_,203.86µm
net870,203.8µm
_01571_,203.655µm
_01565_,203.58µm
net222,203.475µm
net825,203.16µm
net547,202.885µm
net232,202.375µm
clknet_leaf_31_clkA,201.79µm
net429,201.46µm
net362,201.36µm
_03434_,201.08µm
net640,200.945µm
net169,200.89µm
net356,200.78µm
clknet_leaf_10_clkA,200.315µm
coeff_force_packed\[42\],199.87µm
net2058,199.56µm
net417,198.515µm
net979,198.255µm
net496,198.23µm
net2105,197.64µm
net184,197.295µm
net909,197.155µm
_09593_,196.97µm
net846,196.96µm
clknet_leaf_39_clkA,196.57µm
net87,196.48µm
net202,196.415µm
net1650,195.84µm
_01579_,195.825µm
clknet_leaf_7_clkA,195.645µm
net90,195.64µm
net128,195.39µm
net969,194.815µm
_01574_,194.795µm
net209,194.795µm
coeff_force_packed\[15\],194.61µm
net693,193.905µm
net2064,193.8µm
net1653,193.62µm
net215,193.495µm
net460,193.045µm
net833,192.405µm
net451,192.29µm
net804,192.26µm
net107,192.225µm
_07966_,191.94µm
net875,191.885µm
u_spi_slave.tx_shift\[15\],191.58µm
net901,191.435µm
clknet_leaf_50_clkA,191.335µm
net952,190.615µm
net296,190.605µm
net786,190.31µm
spi_wdata\[1\],189.97µm
net646,189.96µm
net52,189.775µm
clknet_4_6_0_clkA,189.54µm
_03405_,189.535µm
u_FIR.w\[7\]\[3\],189.51µm
_03273_,189.475µm
net645,188.86µm
net838,188.78µm
net254,187.74µm
net96,187.735µm
clknet_leaf_45_clkA,187.725µm
_03416_,187.6µm
clknet_leaf_30_clkA,187.205µm
net967,187.185µm
net695,187.17µm
_09598_,187.04µm
net735,186.77µm
net874,186.68µm
clknet_4_9_0_clkA,185.79µm
net2080,185.46µm
net375,185.005µm
net322,184.955µm
clknet_0_spi_sclk,184.61µm
net247,184.525µm
net1026,184.265µm
net182,184.245µm
_09587_,184.1µm
clknet_4_1_0_clkA,183.94µm
net800,183.79µm
net904,183.18µm
u_LMS.x_r\[1\]\[6\],182.71µm
net240,182.315µm
net360,182.305µm
net161,182.145µm
coeff_force_packed\[18\],181.82µm
clknet_leaf_38_clkA,181.79µm
coeff_force_packed\[16\],181.59µm
net836,181.275µm
net1644,181.045µm
clknet_leaf_5_clkA,180.69µm
net861,180.165µm
clknet_leaf_0_clkA,180.14µm
net1002,180.125µm
net2083,179.94µm
_07889_,179.385µm
_03226_,179.125µm
u_FIR.w\[7\]\[1\],179.105µm
u_FIR.w\[2\]\[6\],179.07µm
_00974_,178.88µm
net2061,177.9µm
net204,177.805µm
net1036,177.54µm
net261,177.38µm
net191,177.35µm
_03438_,177.26µm
net884,176.435µm
_00978_,176.29µm
net613,176.225µm
net717,176.22µm
u_FIR.w\[6\]\[1\],176.05µm
net2149,175.93µm
net920,175.46µm
net171,174.955µm
net445,174.635µm
net48,174.6µm
net262,174.4µm
net882,174.28µm
net508,174.175µm
net794,173.9µm
u_LMS.x_r\[1\]\[0\],173.825µm
net291,173.465µm
net103,173.055µm
_03257_,172.92µm
net1667,172.8µm
net2130,171.97µm
net198,171.935µm
net605,171.93µm
net842,171.78µm
net878,171.685µm
net468,171.62µm
_03251_,171.25µm
net667,171.08µm
_03315_,170.945µm
clknet_leaf_3_clkA,170.375µm
coeff_force_packed\[8\],170.35µm
net647,170.34µm
net413,170.19µm
net193,170.165µm
_03407_,169.795µm
net960,169.225µm
net85,169.06µm
net973,169.06µm
net818,168.775µm
clknet_leaf_32_clkA,168.725µm
net328,168.105µm
net213,168.09µm
net669,168.08µm
net892,168.01µm
u_LMS.x_r\[1\]\[2\],167.83µm
net233,167.645µm
coeff_force_packed\[14\],167.62µm
net1029,167.545µm
clknet_leaf_59_clkA,167.245µm
net79,167.16µm
_00976_,166.86µm
_03233_,166.78µm
net950,166.735µm
clknet_leaf_42_clkA,166.475µm
net192,166.08µm
net893,166.015µm
_03250_,165.235µm
_10174_,164.93µm
net1005,164.72µm
