net,length_um
_07862_,164.68µm
u_FIR.w\[1\]\[4\],164.41µm
net166,164.38µm
_10177_,164.035µm
net285,163.985µm
net851,163.97µm
net745,163.81µm
net499,163.73µm
clknet_leaf_28_clkA,163.71µm
_10179_,163.375µm
_03324_,163.23µm
net978,163.215µm
net535,163.165µm
net834,162.91µm
net359,162.86µm
net843,162.805µm
net844,162.685µm
clknet_4_4_0_clkA,162.565µm
coeff_force_packed\[19\],162.34µm
net134,162.23µm
_07842_,162.21µm
net847,161.975µm
net568,161.91µm
net931,161.68µm
_03404_,161.36µm
net2125,161.05µm
clknet_leaf_44_clkA,161.03µm
_03385_,160.46µm
net770,160.46µm
net165,160.4µm
net883,160.36µm
net244,160.355µm
_03063_,160.325µm
net172,160.13µm
net50,160.03µm
net382,160µm
net37,159.965µm
_07801_,159.96µm
net257,159.63µm
clknet_leaf_40_clkA,159.41µm
net759,159.395µm
net255,159.215µm
net781,159.125µm
net558,158.755µm
net760,158.65µm
net51,158.555µm
net580,158.335µm
u_LMS.w\[2\]\[24\],158.245µm
net389,158.1µm
net478,158.035µm
net863,157.765µm
net611,157.71µm
net227,157.63µm
coeff_force_packed\[17\],157.57µm
clknet_leaf_1_clkA,157.335µm
net1025,157.31µm
net895,157.285µm
clknet_leaf_41_clkA,157.25µm
net937,157.155µm
net205,156.895µm
_01660_,156.735µm
clknet_leaf_54_clkA,156.695µm
net876,156.625µm
net84,156.565µm
_03412_,156.555µm
net908,156.49µm
net203,156.13µm
net744,156.115µm
net156,156.085µm
net631,155.97µm
net1037,155.805µm
net188,155.76µm
net869,155.195µm
_00980_,155µm
net292,154.955µm
net86,154.635µm
net1039,154.405µm
net600,154.38µm
net891,154.345µm
net368,154.295µm
net743,154.26µm
_00985_,154.15µm
net896,154.115µm
net2114,154.04µm
net290,153.995µm
net211,153.98µm
clknet_leaf_29_clkA,153.75µm
net857,153.705µm
net131,153.29µm
_07803_,152.71µm
_03575_,152.655µm
_03301_,152.645µm
_03059_,152.63µm
clknet_leaf_62_clkA,152.605µm
clknet_4_3_0_clkA,152.54µm
spi_wr_en,152.255µm
net106,152.055µm
net145,152.05µm
coeff_force_packed\[11\],151.915µm
clknet_leaf_53_clkA,151.62µm
clknet_leaf_17_clkA,151.595µm
spi_wdata\[5\],151.47µm
net456,151.22µm
_03272_,150.965µm
net938,150.96µm
net1033,150.7µm
_03268_,150.67µm
clknet_4_14_0_clkA,150.51µm
clknet_leaf_13_clkA,150.295µm
_07799_,150.2µm
net14,150.155µm
net832,150.04µm
coeff_force_packed\[9\],149.995µm
net626,149.965µm
net658,149.72µm
net365,149.505µm
net523,149.48µm
net840,149.475µm
clknet_leaf_43_clkA,149.22µm
net872,149.19µm
coeff_force_packed\[20\],149.085µm
net200,148.975µm
clknet_leaf_61_clkA,148.875µm
net147,148.87µm
net856,148.85µm
spi_wdata\[0\],148.8µm
net820,148.67µm
net132,148.29µm
net696,148.185µm
clknet_leaf_11_clkA,147.94µm
net353,147.78µm
clknet_leaf_52_clkA,147.63µm
clknet_leaf_25_clkA,147.615µm
net381,147.26µm
net363,147.22µm
_01659_,147.145µm
net750,146.765µm
clknet_leaf_57_clkA,146.68µm
net779,146.585µm
net691,146.57µm
clknet_leaf_16_clkA,146.495µm
net531,146.485µm
coeff_force_packed\[41\],146.44µm
net155,146.3µm
net763,146.22µm
net127,146.165µm
net918,146.08µm
net383,146.005µm
net201,145.705µm
net225,145.64µm
net603,145.37µm
clknet_leaf_18_clkA,145.235µm
_07797_,145.04µm
net933,144.86µm
net544,144.565µm
_02170_,144.43µm
net888,144.26µm
net471,144.075µm
spi_wdata\[4\],144.045µm
net945,144.03µm
net705,144.02µm
_02811_,143.96µm
clknet_leaf_33_clkA,143.84µm
net129,143.635µm
_03252_,143.63µm
net578,143.61µm
net357,143.53µm
net332,143.385µm
net776,143.385µm
net19,143.305µm
net59,143.235µm
net154,143.21µm
net135,143.125µm
net465,142.995µm
net661,142.915µm
net751,142.765µm
clknet_leaf_12_clkA,142.63µm
coeff_force_packed\[13\],142.545µm
clknet_leaf_56_clkA,142.14µm
u_LMS.x_r\[4\]\[6\],141.74µm
_07805_,141.6µm
net364,141.375µm
coeff_force_packed\[46\],141.27µm
net809,141.2µm
net812,141.065µm
net890,141.035µm
clknet_leaf_9_clkA,140.705µm
net787,140.495µm
u_LMS.x_r\[2\]\[7\],140.49µm
clknet_leaf_15_clkA,140.345µm
spi_wdata\[3\],140.3µm
clknet_leaf_26_clkA,140.29µm
clknet_leaf_6_clkA,140.24µm
clknet_leaf_36_clkA,140.19µm
net999,140.095µm
net80,140.06µm
clknet_leaf_58_clkA,139.965µm
net676,139.955µm
coeff_force_packed\[43\],139.69µm
_03410_,139.655µm
_02168_,139.62µm
_07856_,139.57µm
u_FIR.w\[6\]\[2\],139.52µm
net458,139.375µm
u_LMS.x_r\[5\]\[5\],139.28µm
net313,139.26µm
net925,139.225µm
net218,139.22µm
net185,139.115µm
net740,139.11µm
net823,138.925µm
net303,138.83µm
u_debug_unit.mon_w2_sync\[4\],138.675µm
net771,138.67µm
net361,138.655µm
_01072_,138.64µm
net629,138.38µm
net598,138.375µm
clknet_leaf_35_clkA,138.16µm
net6,138.075µm
net318,138.05µm
_03223_,138.035µm
net615,137.93µm
net144,137.89µm
net38,137.88µm
net867,137.775µm
net962,137.58µm
net670,137.525µm
net475,137.38µm
net772,137.38µm
net881,137.355µm
net112,137.185µm
coeff_force_packed\[44\],137.095µm
net1001,136.925µm
net674,136.905µm
u_FIR.w\[3\]\[3\],136.735µm
net1011,136.55µm
net903,136.535µm
net93,136.52µm
net594,136.215µm
clknet_leaf_60_clkA,136.18µm
clknet_4_12_0_clkA,136.065µm
_03521_,135.88µm
net293,135.765µm
net142,135.4µm
_02847_,135.36µm
clknet_leaf_47_clkA,135.01µm
net12,134.93µm
net789,134.76µm
u_FIR.w\[2\]\[1\],134.69µm
net47,134.67µm
net288,134.58µm
u_LMS.x_r\[5\]\[4\],134.545µm
_09122_,134.445µm
_03258_,134.375µm
net42,134.235µm
net467,133.96µm
net702,133.905µm
u_FIR.w\[1\]\[5\],133.87µm
net860,133.8µm
u_debug_unit.mon_w2_sync\[6\],133.69µm
clknet_4_11_0_clkA,133.645µm
_10181_,133.62µm
clknet_leaf_23_clkA,133.575µm
_07785_,133.56µm
net855,133.54µm
_07854_,133.465µm
_03224_,133.34µm
net899,133.245µm
coeff_force_packed\[22\],133µm
net287,132.935µm
net607,132.925µm
_03485_,132.86µm
_09681_,132.75µm
_03058_,132.69µm
_03060_,132.62µm
net217,132.43µm
net672,132.385µm
u_FIR.w\[1\]\[2\],132.15µm
net503,132.11µm
clknet_leaf_49_clkA,132.035µm
u_FIR.w\[5\]\[4\],132.005µm
net384,131.985µm
net168,131.96µm
_02216_,131.905µm
net224,131.82µm
net596,131.78µm
net2179,131.695µm
net219,131.43µm
net525,131.38µm
net286,130.99µm
net100,130.87µm
_02163_,130.845µm
net780,130.715µm
net374,130.585µm
net311,130.43µm
_07960_,130.27µm
net301,130.21µm
_07795_,130.18µm
net1031,130.09µm
net704,129.98µm
coeff_force_packed\[35\],129.825µm
_03256_,129.72µm
net747,129.665µm
net990,129.655µm
net463,129.37µm
net845,129.205µm
net752,129.095µm
clknet_leaf_19_clkA,129.025µm
u_LMS.x_r\[5\]\[2\],128.97µm
net788,128.7µm
net815,128.685µm
net685,128.645µm
net526,128.565µm
_02165_,128.46µm
net309,128.37µm
net422,128.305µm
net58,128.22µm
u_FIR.w\[1\]\[6\],127.94µm
net1642,127.92µm
net741,127.88µm
_08553_,127.5µm
net190,127.48µm
net11,127.47µm
net923,127.34µm
clknet_leaf_24_clkA,127.13µm
net948,126.82µm
net561,126.79µm
net797,126.77µm
_03070_,126.75µm
_03539_,126.64µm
_03240_,126.515µm
net819,126.405µm
net627,126.22µm
u_FIR.w\[1\]\[3\],126.195µm
clknet_leaf_37_clkA,125.985µm
clknet_leaf_34_clkA,125.915µm
u_FIR.w\[4\]\[6\],125.82µm
net698,125.73µm
net310,125.6µm
net24,125.515µm
net858,125.5µm
net866,125.41µm
_02755_,125.4µm
net541,125.385µm
net673,125.23µm
net271,125.22µm
net373,125.1µm
clknet_leaf_48_clkA,125.04µm
u_FIR.w\[3\]\[2\],124.785µm
u_debug_unit.mon_w6_sync\[6\],124.69µm
_10183_,124.615µm
net588,124.595µm
clknet_leaf_20_clkA,124.52µm
_03241_,124.345µm
_03467_,124.23µm
u_FIR.w\[8\]\[0\],124.225µm
net406,124.18µm
net1028,124.14µm
_03400_,124.005µm
net40,123.8µm
net706,123.77µm
net718,123.235µm
net35,122.98µm
clknet_leaf_21_clkA,122.975µm
net660,122.895µm
net924,122.645µm
_02765_,122.54µm
net936,122.415µm
clknet_leaf_51_clkA,122.41µm
_02160_,122.36µm
coeff_force_packed\[10\],122.36µm
net768,122.245µm
_02276_,122.2µm
net762,122.17µm
net777,122.115µm
coeff_force_packed\[27\],122.11µm
net136,122.09µm
_03333_,121.95µm
net724,121.905µm
u_LMS.x_r\[4\]\[3\],121.895µm
_07929_,121.85µm
net164,121.78µm
net666,121.695µm
u_LMS.x_r\[0\]\[3\],121.68µm
net495,121.535µm
net822,121.41µm
_02251_,121.36µm
net245,121.02µm
net922,120.89µm
net10,120.83µm
net350,120.67µm
net753,120.66µm
clknet_leaf_4_clkA,120.555µm
net354,120.09µm
clknet_leaf_27_clkA,119.92µm
coeff_force_packed\[25\],119.705µm
net49,119.565µm
net83,119.48µm
net57,119.345µm
u_debug_unit.mon_w2_sync\[5\],119.29µm
net404,119.23µm
net826,118.925µm
net854,118.925µm
u_FIR.sum\[8\]\[11\],118.87µm
net358,118.67µm
net214,118.655µm
clknet_leaf_55_clkA,118.395µm
net733,118.385µm
clknet_leaf_64_clkA,118.36µm
net27,118.285µm
_03503_,118.22µm
net319,118.175µm
u_debug_unit.mon_w5_sync\[1\],117.965µm
_03269_,117.96µm
_03567_,117.91µm
net638,117.855µm
_03249_,117.78µm
u_debug_unit.mon_w1_sync\[6\],117.73µm
u_FIR.w\[5\]\[3\],117.715µm
u_FIR.w\[1\]\[1\],117.62µm
net26,117.62µm
net649,117.555µm
net971,117.435µm
u_FIR.w\[2\]\[2\],117.43µm
net1013,117.43µm
net379,117.235µm
net371,117.135µm
coeff_force_packed\[38\],116.94µm
net700,116.795µm
net829,116.595µm
net113,116.56µm
net577,116.415µm
u_FIR.w\[5\]\[2\],116.325µm
coeff_force_packed\[5\],116.215µm
net56,116.205µm
net378,116.06µm
net212,115.99µm
_03067_,115.715µm
_02154_,115.51µm
_03563_,115.21µm
net821,114.77µm
net708,114.74µm
_02158_,114.73µm
u_LMS.x_r\[6\]\[6\],114.67µm
_03276_,114.555µm
net796,114.505µm
_07941_,114.48µm
net956,114.285µm
u_FIR.w\[0\]\[2\],114.26µm
_09702_,114.195µm
net312,114.11µm
net8,113.965µm
net32,113.895µm
net428,113.865µm
_02762_,113.83µm
clknet_leaf_22_clkA,113.815µm
net566,113.715µm
_07860_,113.65µm
u_debug_unit.mon_w3_sync\[3\],113.595µm
net314,113.485µm
net709,113.325µm
net688,113.315µm
net380,113.22µm
_07858_,113.16µm
net635,113.06µm
u_debug_unit.mon_w6_sync\[1\],112.895µm
net583,112.825µm
u_FIR.w\[6\]\[4\],112.76µm
net223,112.605µm
net865,112.245µm
net110,112.22µm
net524,112.155µm
net246,112.05µm
net880,111.975µm
net494,111.97µm
net643,111.96µm
net919,111.805µm
_02760_,111.795µm
net720,111.69µm
net418,111.685µm
u_debug_unit.mon_w2_sync\[0\],111.665µm
_07897_,111.44µm
net55,111.185µm
net622,111.005µm
u_FIR.w\[3\]\[1\],110.96µm
u_FIR.w\[6\]\[0\],110.905µm
coeff_force_packed\[21\],110.84µm
u_FIR.w\[7\]\[5\],110.84µm
_07973_,110.75µm
net802,110.58µm
net559,110.555µm
net862,109.94µm
net258,109.89µm
net307,109.89µm
net370,109.89µm
_07783_,109.815µm
net54,109.78µm
u_LMS.x_r\[4\]\[4\],109.775µm
_02767_,109.725µm
u_debug_unit.mon_w6_sync\[2\],109.715µm
coeff_force_packed\[7\],109.52µm
net25,109.38µm
net795,109.38µm
net1018,109.165µm
coeff_force_packed\[45\],109.105µm
net574,108.815µm
net101,108.69µm
net806,108.69µm
net737,108.51µm
net974,108.51µm
net229,108.285µm
_03347_,108.27µm
_03429_,108.27µm
_03271_,108.19µm
net7,108.135µm
net349,108.07µm
net431,107.885µm
net662,107.8µm
net45,107.05µm
_03253_,106.74µm
coeff_force_packed\[50\],106.675µm
u_debug_unit.mon_w5_sync\[6\],106.59µm
net253,106.515µm
u_debug_unit.mon_w2_sync\[3\],106.43µm
coeff_force_packed\[30\],106.395µm
net769,106.335µm
net170,106.32µm
net153,106.295µm
net304,106µm
net827,105.985µm
coeff_force_packed\[23\],105.62µm
net656,105.58µm
net905,105.53µm
net841,105.485µm
net151,105.415µm
net927,105.3µm
_03064_,105.16µm
_07942_,105.11µm
_02757_,105.065µm
net721,105.005µm
net377,104.905µm
net926,104.815µm
net716,104.77µm
u_FIR.w\[8\]\[6\],104.71µm
net1,104.64µm
net678,104.55µm
u_LMS.x_r\[0\]\[7\],104.43µm
net981,104.365µm
net993,104.13µm
u_debug_unit.mon_w3_sync\[1\],104.08µm
_01710_,103.965µm
u_debug_unit.error_signal_sync\[1\],103.74µm
u_FIR.w\[2\]\[4\],103.69µm
net562,103.665µm
net491,103.645µm
net817,103.645µm
net575,103.38µm
net799,103.305µm
_02871_,103.205µm
_07737_,103.205µm
_10879_,102.955µm
net487,102.845µm
net951,102.84µm
net1014,102.75µm
_03244_,102.745µm
u_FIR.w\[0\]\[3\],102.72µm
_07739_,102.69µm
u_FIR.w\[4\]\[4\],102.6µm
net849,102.53µm
_07824_,102.445µm
u_debug_unit.error_signal_sync\[4\],102.43µm
_07775_,102.38µm
_07741_,102.26µm
net1030,102.26µm
net934,102.21µm
net689,101.99µm
u_FIR.w\[4\]\[2\],101.855µm
net958,101.565µm
net853,101.52µm
_03217_,101.425µm
u_debug_unit.mon_w5_sync\[5\],101.32µm
net1010,101.305µm
net99,101.18µm
net540,101.11µm
net886,101.105µm
net295,100.985µm
u_FIR.w\[0\]\[0\],100.83µm
net761,100.66µm
u_FIR.w\[8\]\[2\],100.585µm
net1019,100.35µm
net289,100.25µm
net994,100.24µm
net1006,100.225µm
net543,99.685µm
net653,99.665µm
net323,99.63µm
net590,99.63µm
net420,99.135µm
u_FIR.w\[5\]\[1\],99.025µm
net298,98.93µm
net278,98.565µm
_06586_,98.485µm
net606,98.455µm
u_LMS.x_r\[1\]\[4\],98.42µm
net403,98.285µm
_03061_,98.125µm
net921,97.92µm
_03242_,97.825µm
net557,97.815µm
net189,97.725µm
net297,97.435µm
u_debug_unit.mon_w5_sync\[3\],97.33µm
_08524_,97.075µm
net149,97.075µm
u_debug_unit.mon_w5_sync\[2\],96.945µm
net824,96.895µm
net949,96.88µm
net664,96.815µm
net710,96.565µm
net241,96.455µm
net742,96.275µm
u_LMS.w\[1\]\[24\],96.15µm
_03234_,95.8µm
_07765_,95.78µm
net852,95.66µm
net43,95.55µm
net545,95.395µm
net894,95.25µm
net587,95.215µm
_10229_,95.11µm
u_debug_unit.error_signal_sync\[2\],95.11µm
coeff_force_packed\[33\],94.965µm
u_FIR.w\[3\]\[4\],94.965µm
net30,94.84µm
net315,94.81µm
net473,94.79µm
u_debug_unit.error_signal_sync\[3\],94.75µm
net684,94.66µm
coeff_force_packed\[47\],94.52µm
_08067_,94.51µm
net2199,94.44µm
net887,94.43µm
net637,94.34µm
net15,94.245µm
_03370_,94.07µm
_03418_,94.065µm
net576,94.015µm
net317,93.9µm
net22,93.86µm
net803,93.565µm
net902,93.505µm
net483,93.395µm
net943,93.27µm
net505,93.215µm
net231,93.21µm
_04217_,93.19µm
u_LMS.x_r\[0\]\[4\],92.985µm
coeff_force_packed\[49\],92.77µm
net17,92.715µm
net694,92.7µm
net975,92.67µm
net33,92.61µm
net308,92.515µm
_09147_,92.47µm
net707,92.44µm
u_LMS.x_r\[5\]\[7\],92.41µm
net961,92.14µm
_03227_,91.96µm
net730,91.85µm
net651,91.58µm
net1646,91.52µm
net610,91.37µm
net1007,91.355µm
_01094_,91.275µm
net586,91.255µm
_03066_,91.185µm
_03219_,91.155µm
net206,91.11µm
_03248_,91.03µm
_07915_,90.98µm
net828,90.86µm
_07743_,90.755µm
u_FIR.sum\[2\]\[12\],90.625µm
clknet_leaf_65_clkA,90.5µm
net642,90.495µm
_08492_,90.49µm
_03373_,90.45µm
net930,90.41µm
_03450_,90.34µm
_03228_,90.295µm
net150,90.245µm
net992,89.975µm
_05952_,89.945µm
net997,89.945µm
_10263_,89.94µm
net20,89.895µm
u_LMS.w\[3\]\[24\],89.775µm
net444,89.635µm
net722,89.595µm
net537,89.4µm
net835,89.335µm
u_debug_unit.mon_w7_sync\[2\],89.24µm
net947,89.11µm
net811,89.08µm
net274,89.055µm
coeff_force_packed\[58\],89.03µm
net585,88.95µm
net28,88.9µm
net639,88.895µm
u_FIR.w\[5\]\[6\],88.72µm
_03270_,88.49µm
u_FIR.w\[0\]\[4\],88.46µm
u_debug_unit.error_signal_sync\[0\],88.375µm
u_FIR.w\[4\]\[1\],88.28µm
net1035,88.07µm
coeff_force_packed\[32\],88.05µm
net584,87.895µm
net481,87.815µm
_03506_,87.76µm
net442,87.72µm
net582,87.72µm
net579,87.545µm
u_debug_unit.mon_w2_sync\[1\],87.49µm
_07735_,87.37µm
coeff_force_packed\[29\],87.32µm
_07763_,87.31µm
net652,87.18µm
net671,87.17µm
net984,87.14µm
coeff_force_packed\[4\],87.13µm
u_debug_unit.mon_w2_sync\[2\],86.89µm
net280,86.83µm
net1027,86.825µm
u_LMS.x_r\[5\]\[3\],86.67µm
net513,86.63µm
net614,86.41µm
net680,86.355µm
_04540_,86.18µm
_07992_,86.17µm
net703,86.1µm
net430,86.055µm
_07753_,86.05µm
net511,85.975µm
net400,85.635µm
net630,85.6µm
net1022,85.6µm
net424,85.58µm
_06587_,85.57µm
coeff_force_packed\[2\],85.46µm
net599,85.22µm
net1012,85.22µm
u_FIR.w\[8\]\[4\],85.21µm
u_LMS.w\[1\]\[13\],85.195µm
net387,85.165µm
_03472_,85.09µm
net944,84.975µm
coeff_force_packed\[37\],84.945µm
net39,84.91µm
net916,84.9µm
net504,84.75µm
net616,84.72µm
_09678_,84.67µm
net452,84.595µm
_07950_,84.585µm
net306,84.535µm
net259,84.345µm
net453,84.19µm
u_FIR.w\[4\]\[3\],84.07µm
_07905_,83.995µm
net677,83.875µm
net783,83.85µm
_03441_,83.79µm
_03435_,83.78µm
coeff_force_packed\[60\],83.72µm
net988,83.435µm
net755,83.37µm
net1040,83.27µm
net386,83.13µm
coeff_force_packed\[36\],83.125µm
net277,82.98µm
u_FIR.sum\[1\]\[9\],82.95µm
u_LMS.x_r\[4\]\[2\],82.82µm
net351,82.77µm
_03267_,82.61µm
