net,length_um
_10384_,41.62µm
_07106_,41.595µm
_05246_,41.58µm
_10874_,41.52µm
_05957_,41.46µm
_02500_,41.41µm
u_LMS.count\[1\],41.405µm
_05806_,41.335µm
u_FIR.sum\[1\]\[11\],41.275µm
_08067_,41.23µm
_08974_,41.205µm
_04036_,41.2µm
_10100_,41.1µm
u_LMS.w\[4\]\[5\],41.07µm
_01508_,41.04µm
u_LMS.w\[4\]\[19\],41.03µm
_08218_,41.01µm
u_FIR.sum\[6\]\[9\],41.01µm
_08173_,40.945µm
_09213_,40.93µm
net2202,40.93µm
_10749_,40.925µm
_03507_,40.92µm
_04330_,40.89µm
u_FIR.sum\[5\]\[17\],40.86µm
_01417_,40.77µm
_04283_,40.705µm
_03692_,40.7µm
_10399_,40.62µm
_11175_,40.58µm
_10871_,40.57µm
_05280_,40.56µm
_02386_,40.52µm
_03833_,40.52µm
_08856_,40.5µm
u_LMS.w\[0\]\[6\],40.475µm
_09391_,40.46µm
_03334_,40.455µm
_09864_,40.45µm
_03598_,40.445µm
_07203_,40.4µm
_09681_,40.33µm
_09583_,40.32µm
_11077_,40.32µm
_06290_,40.315µm
u_FIR.sum\[0\]\[8\],40.225µm
_09219_,40.17µm
_00772_,40.16µm
_06509_,40.14µm
_10064_,40.085µm
_11044_,40.065µm
_10755_,40.06µm
_01198_,40.03µm
_03588_,40.02µm
u_LMS.w\[1\]\[19\],39.995µm
_03039_,39.93µm
_08883_,39.93µm
spi_miso,39.92µm
_03546_,39.9µm
u_FIR.sum\[5\]\[12\],39.85µm
_02034_,39.735µm
_02550_,39.73µm
_02245_,39.725µm
_10856_,39.72µm
u_LMS.w\[4\]\[4\],39.715µm
_01766_,39.56µm
_05252_,39.56µm
_10226_,39.44µm
_01637_,39.43µm
_02012_,39.42µm
_02608_,39.42µm
coeff_force_packed\[45\],39.37µm
_04573_,39.33µm
u_LMS.w\[8\]\[11\],39.33µm
_09280_,39.31µm
_02221_,39.28µm
_06763_,39.28µm
_09438_,39.27µm
_04983_,39.26µm
_07232_,39.245µm
_10677_,39.245µm
_02610_,39.23µm
_10963_,39.22µm
_09087_,39.215µm
coeff_force_packed\[24\],39.215µm
_01639_,39.155µm
_04568_,39.11µm
_05564_,39.08µm
net1676,39.08µm
u_FIR.sum\[3\]\[13\],39.07µm
u_LMS.w\[8\]\[8\],39.07µm
_03070_,39.06µm
u_LMS.w\[5\]\[3\],39.05µm
u_LMS.w\[1\]\[9\],39.04µm
_06937_,39.03µm
_06504_,39.01µm
_07774_,39.01µm
_09852_,39µm
_07926_,38.92µm
_01854_,38.91µm
_03344_,38.91µm
_08498_,38.9µm
_03590_,38.88µm
_09532_,38.88µm
_02714_,38.84µm
net2136,38.83µm
_04609_,38.825µm
_10600_,38.82µm
_05927_,38.815µm
u_LMS.w\[3\]\[9\],38.815µm
_06823_,38.785µm
_02254_,38.76µm
_07126_,38.69µm
_10042_,38.685µm
_07965_,38.66µm
_03022_,38.575µm
_07238_,38.575µm
_07588_,38.535µm
_06346_,38.53µm
_01028_,38.52µm
_02071_,38.47µm
_02050_,38.41µm
_05469_,38.4µm
_09133_,38.4µm
_02693_,38.35µm
_05417_,38.3µm
_05714_,38.3µm
_09486_,38.3µm
_08597_,38.235µm
_01200_,38.215µm
_01430_,38.19µm
_03647_,38.19µm
_10326_,38.17µm
_05928_,38.155µm
coeff_force_packed\[39\],38.11µm
_08239_,38.1µm
_02569_,38.07µm
_02597_,38.05µm
_00916_,38.04µm
_03002_,38.015µm
_10397_,38.015µm
_08605_,38µm
_09774_,38µm
_08456_,37.99µm
_07463_,37.98µm
_09984_,37.975µm
u_FIR.sum\[5\]\[9\],37.95µm
_06674_,37.94µm
_09088_,37.94µm
_08688_,37.92µm
u_FIR.sum\[7\]\[15\],37.895µm
_07990_,37.87µm
_06926_,37.845µm
u_FIR.sum\[5\]\[16\],37.845µm
_02564_,37.83µm
_02840_,37.83µm
_03652_,37.825µm
_05854_,37.795µm
_07090_,37.71µm
_06696_,37.69µm
_04270_,37.645µm
_00877_,37.62µm
_04028_,37.62µm
_05778_,37.62µm
u_LMS.w\[8\]\[9\],37.6µm
_04809_,37.595µm
_08668_,37.575µm
_08221_,37.57µm
_05291_,37.5µm
_01416_,37.45µm
_07387_,37.45µm
_06754_,37.425µm
_03030_,37.42µm
_01745_,37.4µm
_07432_,37.38µm
_05612_,37.34µm
u_debug_unit.mon_w6_sync\[5\],37.32µm
spi_addr\[6\],37.31µm
_03346_,37.285µm
_03774_,37.28µm
_10015_,37.225µm
_02669_,37.21µm
_04113_,37.2µm
_05772_,37.2µm
_09974_,37.16µm
_01393_,37.14µm
_04663_,37.135µm
_06035_,37.08µm
_10769_,37.04µm
_07186_,37µm
_10262_,36.985µm
_07135_,36.97µm
u_debug_unit.mon_w7_sync\[5\],36.96µm
_04739_,36.945µm
_08149_,36.9µm
_09005_,36.9µm
u_LMS.w\[6\]\[12\],36.9µm
_09855_,36.84µm
_01653_,36.83µm
_07265_,36.775µm
_08006_,36.73µm
_10028_,36.73µm
_02249_,36.725µm
_01057_,36.72µm
_01600_,36.72µm
_06531_,36.72µm
_03739_,36.68µm
_09223_,36.67µm
_05098_,36.66µm
_01595_,36.64µm
_01646_,36.61µm
_10989_,36.565µm
u_LMS.count\[19\],36.55µm
_09001_,36.505µm
_03348_,36.49µm
_08769_,36.49µm
_08653_,36.445µm
_02135_,36.42µm
_08400_,36.42µm
_10432_,36.385µm
_08652_,36.38µm
u_FIR.sum\[7\]\[16\],36.37µm
u_spi_slave.bit_cnt\[1\],36.345µm
_09991_,36.34µm
_02361_,36.32µm
_09390_,36.32µm
_02376_,36.31µm
_08918_,36.31µm
_10598_,36.31µm
u_FIR.sum\[6\]\[14\],36.27µm
_01466_,36.26µm
_01924_,36.26µm
_10644_,36.26µm
_10411_,36.25µm
u_LMS.w\[4\]\[8\],36.235µm
_09811_,36.215µm
_08085_,36.19µm
_10559_,36.13µm
net2068,36.13µm
net2317,36.13µm
_08644_,36.12µm
_11079_,36.12µm
u_FIR.sum\[5\]\[0\],36.12µm
_03332_,36.075µm
_07312_,36.07µm
_06361_,36.06µm
_08720_,36.06µm
_06916_,36.01µm
_03604_,36µm
_07380_,36µm
u_FIR.sum\[0\]\[14\],35.995µm
_08197_,35.94µm
_09896_,35.885µm
_05726_,35.88µm
_09900_,35.8µm
_10516_,35.78µm
_04067_,35.72µm
net1705,35.71µm
_01910_,35.7µm
_05855_,35.675µm
_10571_,35.67µm
u_FIR.sum\[6\]\[12\],35.66µm
_03740_,35.65µm
_07250_,35.65µm
_05394_,35.64µm
_07938_,35.63µm
_03190_,35.58µm
u_debug_unit.mon_w7_sync\[3\],35.55µm
_09987_,35.53µm
_09361_,35.525µm
_08086_,35.52µm
_10264_,35.52µm
_06109_,35.5µm
_03050_,35.49µm
_10609_,35.46µm
_05685_,35.42µm
_05371_,35.4µm
_09454_,35.4µm
_06326_,35.37µm
_02248_,35.35µm
_10729_,35.33µm
_00841_,35.325µm
_03454_,35.325µm
_09452_,35.31µm
u_debug_unit.sw_reset\[6\],35.3µm
_08389_,35.29µm
u_LMS.w\[5\]\[11\],35.29µm
_09546_,35.28µm
_10978_,35.27µm
u_FIR.sum\[5\]\[11\],35.25µm
_01618_,35.22µm
_03854_,35.17µm
_09041_,35.17µm
_06339_,35.12µm
_04545_,35.07µm
_07148_,35.05µm
_08228_,35.05µm
_02852_,35.04µm
_09527_,35µm
_10643_,35µm
_09312_,34.99µm
_03470_,34.98µm
u_FIR.sum\[6\]\[18\],34.965µm
_10545_,34.94µm
u_LMS.w\[8\]\[3\],34.94µm
_03034_,34.925µm
_10074_,34.925µm
u_FIR.sum\[3\]\[4\],34.92µm
_10082_,34.89µm
_10958_,34.89µm
_10267_,34.87µm
u_FIR.sum\[4\]\[15\],34.84µm
_03859_,34.81µm
u_LMS.w\[1\]\[6\],34.785µm
_06635_,34.76µm
_07471_,34.75µm
_03691_,34.74µm
_09771_,34.74µm
_06112_,34.735µm
_09806_,34.7µm
_02106_,34.695µm
_06004_,34.685µm
_08167_,34.63µm
u_LMS.count\[14\],34.62µm
_03360_,34.59µm
_02119_,34.585µm
_03960_,34.575µm
_05877_,34.57µm
coeff_force_packed\[44\],34.57µm
_06210_,34.555µm
_03957_,34.53µm
_05088_,34.53µm
_02474_,34.5µm
_04255_,34.5µm
_08153_,34.5µm
_09477_,34.5µm
_01974_,34.495µm
_06603_,34.495µm
_10515_,34.47µm
_09378_,34.46µm
u_debug_unit.mon_w4_sync\[2\],34.46µm
_01883_,34.45µm
_03944_,34.45µm
_03804_,34.445µm
_08502_,34.44µm
_04762_,34.435µm
_01052_,34.375µm
_04064_,34.375µm
_08447_,34.34µm
_05021_,34.32µm
_00831_,34.28µm
_02506_,34.28µm
_10057_,34.26µm
u_FIR.sum\[6\]\[8\],34.23µm
_03262_,34.21µm
_03809_,34.17µm
u_LMS.w\[1\]\[4\],34.17µm
_07079_,34.16µm
_05668_,34.14µm
_02687_,34.1µm
_07581_,34.1µm
u_FIR.sum\[4\]\[2\],34.09µm
u_LMS.w\[0\]\[11\],34.085µm
_00022_,34.08µm
_01451_,34.08µm
_03547_,34.08µm
_03753_,34.08µm
_04830_,34.045µm
_07362_,34.04µm
_07957_,34.035µm
_10286_,34.03µm
u_FIR.sum\[6\]\[15\],33.99µm
_10000_,33.98µm
_01355_,33.97µm
_06846_,33.97µm
_06869_,33.965µm
_04381_,33.96µm
_05266_,33.96µm
_08260_,33.955µm
u_FIR.sum\[4\]\[8\],33.925µm
net1663,33.925µm
_04834_,33.92µm
_00970_,33.9µm
_08120_,33.9µm
_07293_,33.88µm
_05231_,33.87µm
_04120_,33.865µm
_03349_,33.86µm
_10751_,33.85µm
_10431_,33.84µm
_05309_,33.745µm
_08055_,33.735µm
_03142_,33.73µm
_05788_,33.73µm
_03340_,33.68µm
_07228_,33.67µm
_10847_,33.67µm
_05707_,33.655µm
_09829_,33.64µm
u_LMS.w\[5\]\[8\],33.625µm
_10266_,33.61µm
u_debug_unit.mon_w3_sync\[5\],33.6µm
_03007_,33.57µm
_01879_,33.56µm
_08839_,33.56µm
_11043_,33.55µm
_02751_,33.54µm
_06644_,33.53µm
_10250_,33.51µm
_09770_,33.5µm
u_FIR.sum\[4\]\[9\],33.5µm
u_debug_unit.mon_w0_sync\[6\],33.5µm
_02405_,33.49µm
_02829_,33.49µm
_06001_,33.49µm
_06690_,33.48µm
_08327_,33.48µm
_10276_,33.48µm
_04078_,33.43µm
_08213_,33.43µm
_07517_,33.425µm
u_LMS.w\[1\]\[3\],33.425µm
_01025_,33.365µm
_05475_,33.36µm
u_LMS.w\[6\]\[4\],33.31µm
_02123_,33.27µm
u_FIR.sum\[6\]\[7\],33.26µm
_01372_,33.25µm
_07170_,33.2µm
_09828_,33.19µm
u_FIR.sum\[8\]\[16\],33.14µm
_07583_,33.13µm
u_LMS.w\[2\]\[3\],33.125µm
_05004_,33.08µm
_04538_,33.06µm
_04838_,33.06µm
_01478_,33.04µm
_00875_,33.03µm
_10401_,33.025µm
_01197_,33.02µm
_09927_,33.02µm
u_debug_unit.mon_w1_sync\[0\],33.01µm
_04478_,33µm
_09046_,32.995µm
_10026_,32.955µm
_10618_,32.95µm
u_LMS.w\[6\]\[3\],32.915µm
_09343_,32.9µm
_05119_,32.86µm
_05223_,32.82µm
spi_addr\[2\],32.8µm
_01377_,32.77µm
_04940_,32.76µm
_05985_,32.76µm
_08870_,32.76µm
_10243_,32.76µm
_09097_,32.725µm
_10551_,32.72µm
_09928_,32.71µm
net540,32.705µm
_03801_,32.685µm
u_LMS.count\[16\],32.67µm
_07325_,32.64µm
_06399_,32.635µm
_06356_,32.59µm
_10444_,32.59µm
_08858_,32.585µm
_05220_,32.55µm
_07497_,32.55µm
u_FIR.sum\[5\]\[14\],32.55µm
_10627_,32.52µm
u_FIR.sum\[7\]\[5\],32.505µm
_02785_,32.5µm
_03879_,32.48µm
u_LMS.w\[0\]\[3\],32.48µm
_07993_,32.465µm
_08700_,32.44µm
_07513_,32.435µm
_01289_,32.405µm
_02635_,32.405µm
net2289,32.36µm
_09313_,32.35µm
u_LMS.w\[6\]\[6\],32.345µm
_06993_,32.34µm
_10454_,32.335µm
_01309_,32.29µm
u_FIR.sum\[7\]\[0\],32.29µm
_09816_,32.285µm
_08469_,32.28µm
_10443_,32.25µm
_10259_,32.24µm
_05356_,32.22µm
_08096_,32.215µm
_01500_,32.18µm
_02783_,32.18µm
_03990_,32.18µm
_09398_,32.18µm
_02577_,32.17µm
_02747_,32.17µm
_01676_,32.16µm
_06086_,32.16µm
_07368_,32.16µm
_01632_,32.135µm
_10358_,32.135µm
_05638_,32.11µm
_07159_,32.1µm
net37,32.06µm
_02122_,32.05µm
_08722_,32.05µm
_11149_,32.05µm
_02549_,32.035µm
u_debug_unit.force_w6\[7\],32.02µm
_02358_,32µm
_01338_,31.99µm
_05372_,31.975µm
_06653_,31.89µm
_06181_,31.88µm
_05423_,31.86µm
u_FIR.sum\[0\]\[7\],31.86µm
_10593_,31.825µm
_07300_,31.82µm
u_FIR.sum\[7\]\[14\],31.805µm
_01985_,31.8µm
_06469_,31.8µm
_07791_,31.8µm
_08758_,31.8µm
_10272_,31.8µm
_10636_,31.76µm
net2420,31.76µm
_03824_,31.75µm
_06710_,31.75µm
spi_addr\[1\],31.74µm
_06973_,31.725µm
u_FIR.sum\[4\]\[13\],31.725µm
u_FIR.sum\[4\]\[4\],31.69µm
_02238_,31.68µm
_07921_,31.665µm
_06158_,31.635µm
_10357_,31.63µm
_02228_,31.62µm
_02823_,31.615µm
_04552_,31.57µm
_08699_,31.56µm
_06411_,31.52µm
_01519_,31.51µm
_08192_,31.51µm
_11159_,31.51µm
_03718_,31.45µm
_02704_,31.44µm
_08923_,31.44µm
net1766,31.44µm
u_FIR.sum\[6\]\[10\],31.435µm
_11046_,31.425µm
_10078_,31.4µm
_01736_,31.39µm
_01397_,31.38µm
_04735_,31.38µm
_06811_,31.38µm
_08393_,31.365µm
u_FIR.sum\[5\]\[13\],31.365µm
u_LMS.toggle,31.355µm
_01219_,31.33µm
_10140_,31.33µm
u_FIR.sum\[4\]\[10\],31.325µm
_03196_,31.32µm
_06569_,31.32µm
_10574_,31.32µm
_10258_,31.285µm
_03714_,31.26µm
_04503_,31.26µm
_05319_,31.26µm
_02226_,31.24µm
u_debug_unit.mon_w7_sync\[1\],31.225µm
_04018_,31.21µm
_10649_,31.21µm
_10757_,31.21µm
_05945_,31.16µm
_01839_,31.1µm
u_LMS.w\[2\]\[11\],31.09µm
_00869_,31.085µm
_08959_,31.08µm
u_FIR.sum\[4\]\[7\],31.04µm
net2341,31.04µm
_02591_,31.015µm
_10759_,31.005µm
u_FIR.sum\[1\]\[13\],30.995µm
_00849_,30.99µm
_07794_,30.99µm
_01756_,30.98µm
_02442_,30.98µm
_05862_,30.97µm
_01460_,30.96µm
_05310_,30.96µm
_07224_,30.96µm
_07386_,30.96µm
u_FIR.sum\[5\]\[7\],30.96µm
_07511_,30.93µm
_04443_,30.91µm
_10826_,30.91µm
_01244_,30.86µm
_07327_,30.85µm
_09637_,30.84µm
u_FIR.sum\[8\]\[9\],30.84µm
_09432_,30.825µm
u_FIR.sum\[7\]\[13\],30.815µm
_03398_,30.81µm
_07516_,30.775µm
u_spi_slave.rx_shift\[13\],30.765µm
_09344_,30.755µm
_10613_,30.745µm
_00911_,30.74µm
_09675_,30.74µm
_10810_,30.735µm
u_FIR.sum\[8\]\[13\],30.735µm
_04337_,30.73µm
_10011_,30.73µm
u_s2p_input.reg_sh\[0\],30.73µm
_04889_,30.695µm
_10488_,30.69µm
_05900_,30.67µm
_05581_,30.655µm
_01256_,30.62µm
_05117_,30.61µm
_03843_,30.605µm
_07531_,30.6µm
_02839_,30.595µm
_09237_,30.58µm
_08364_,30.55µm
u_FIR.sum\[6\]\[11\],30.515µm
_03861_,30.48µm
u_debug_unit.force_w5\[7\],30.48µm
_01470_,30.465µm
_04206_,30.455µm
_03006_,30.45µm
_07052_,30.43µm
_04665_,30.42µm
_07176_,30.415µm
_02522_,30.39µm
_09356_,30.38µm
_03239_,30.37µm
_09363_,30.36µm
_10123_,30.36µm
_08886_,30.34µm
_01629_,30.32µm
_08999_,30.32µm
_08247_,30.31µm
_02040_,30.305µm
u_FIR.sum\[7\]\[18\],30.3µm
_10350_,30.27µm
_00967_,30.25µm
u_FIR.sum\[7\]\[2\],30.245µm
_02827_,30.24µm
_07634_,30.215µm
_09962_,30.215µm
_10986_,30.205µm
_04488_,30.2µm
_10193_,30.2µm
u_FIR.sum\[4\]\[14\],30.2µm
_08928_,30.19µm
_07873_,30.18µm
u_spi_slave.tx_cnt\[0\],30.165µm
_09800_,30.16µm
u_debug_unit.mon_w0_sync\[4\],30.155µm
_10669_,30.145µm
_02543_,30.14µm
_02863_,30.13µm
_03789_,30.13µm
_07704_,30.13µm
_10614_,30.125µm
_05538_,30.075µm
_09515_,30.045µm
_08603_,30.03µm
_09835_,30.02µm
u_FIR.sum\[4\]\[12\],30.02µm
u_LMS.w\[7\]\[3\],30µm
_07256_,29.985µm
_04392_,29.98µm
_01536_,29.95µm
_03170_,29.94µm
_08611_,29.94µm
_01925_,29.935µm
_02578_,29.91µm
_02618_,29.89µm
_07122_,29.89µm
u_LMS.w\[5\]\[10\],29.89µm
_08352_,29.88µm
_01952_,29.875µm
u_spi_slave.rd_toggle,29.82µm
_03581_,29.805µm
_08828_,29.78µm
u_FIR.sum\[7\]\[1\],29.77µm
_01838_,29.76µm
_10442_,29.76µm
_10667_,29.715µm
_04296_,29.71µm
_06655_,29.7µm
_04004_,29.695µm
_11187_,29.66µm
coeff_force_packed\[61\],29.66µm
_06747_,29.65µm
coeff_force_packed\[52\],29.65µm
_06990_,29.645µm
_02277_,29.64µm
_07483_,29.64µm
_02377_,29.575µm
_03945_,29.57µm
_06303_,29.565µm
_04103_,29.545µm
_00819_,29.54µm
_09030_,29.54µm
_09690_,29.53µm
_01841_,29.52µm
_02351_,29.495µm
u_LMS.count\[7\],29.47µm
_09614_,29.46µm
_10722_,29.46µm
net2435,29.46µm
_03017_,29.43µm
_09083_,29.42µm
_09528_,29.41µm
_08296_,29.335µm
_03009_,29.31µm
u_debug_unit.sw_reset\[5\],29.31µm
u_debug_unit.sw_reset\[4\],29.3µm
_02362_,29.29µm
_09463_,29.29µm
u_debug_unit.mon_w1_sync\[4\],29.265µm
_10803_,29.26µm
u_LMS.count\[23\],29.23µm
_03025_,29.195µm
_00880_,29.18µm
_09958_,29.14µm
_10194_,29.14µm
_01476_,29.11µm
_03748_,29.085µm
_02139_,29.05µm
_10789_,29.05µm
_01226_,29.04µm
coeff_force_packed\[20\],29.01µm
_07551_,28.99µm
_04254_,28.98µm
_09543_,28.98µm
_02656_,28.975µm
_05720_,28.975µm
_09216_,28.975µm
_10143_,28.93µm
_04423_,28.92µm
_07997_,28.89µm
_10362_,28.87µm
_02037_,28.86µm
_02002_,28.82µm
u_FIR.sum\[5\]\[5\],28.82µm
_03477_,28.81µm
u_LMS.w\[0\]\[8\],28.81µm
_02575_,28.8µm
_04519_,28.785µm
_04780_,28.765µm
_09070_,28.755µm
_04347_,28.75µm
net1971,28.715µm
_08880_,28.705µm
_09241_,28.69µm
_10477_,28.69µm
_00825_,28.68µm
_03444_,28.68µm
_07274_,28.66µm
_11065_,28.66µm
_09904_,28.635µm
_02095_,28.63µm
_08816_,28.63µm
_06300_,28.62µm
_10675_,28.62µm
_07789_,28.615µm
_08669_,28.615µm
u_LMS.w\[7\]\[6\],28.59µm
_03460_,28.57µm
_03035_,28.565µm
_01245_,28.56µm
_04449_,28.56µm
_02691_,28.545µm
_06794_,28.545µm
_08832_,28.515µm
_05333_,28.5µm
_03784_,28.48µm
u_FIR.sum\[4\]\[5\],28.475µm
_01872_,28.455µm
_07413_,28.455µm
_04744_,28.445µm
_02000_,28.44µm
_03527_,28.44µm
_08138_,28.44µm
_01615_,28.435µm
_08784_,28.435µm
_09231_,28.435µm
_08811_,28.405µm
_08016_,28.4µm
_08824_,28.4µm
_07922_,28.38µm
net1774,28.37µm
u_FIR.sum\[5\]\[10\],28.36µm
_07998_,28.355µm
_01891_,28.35µm
net2333,28.34µm
net2380,28.34µm
_01642_,28.33µm
_02118_,28.29µm
_07258_,28.28µm
_05289_,28.26µm
_10022_,28.26µm
_02520_,28.245µm
_10068_,28.23µm
_02404_,28.22µm
net2301,28.22µm
_10548_,28.2µm
_07043_,28.135µm
_08624_,28.135µm
_04183_,28.11µm
u_LMS.w\[0\]\[10\],28.1µm
_10952_,28.095µm
_10753_,28.09µm
u_s2p_input.reg_cnt\[0\],28.09µm
_01846_,28.08µm
_06284_,28.08µm
_07205_,28.08µm
_10027_,28.08µm
_09420_,28.04µm
_08967_,28.03µm
_08357_,28.02µm
net1656,27.98µm
_06233_,27.97µm
_07382_,27.97µm
u_LMS.w\[6\]\[2\],27.97µm
_10415_,27.96µm
_07991_,27.945µm
_09092_,27.945µm
_07546_,27.91µm
_08746_,27.895µm
_04961_,27.87µm
_04767_,27.865µm
_09827_,27.86µm
_10497_,27.86µm
u_spi_slave.rx_shift\[5\],27.845µm
_05161_,27.84µm
_04569_,27.79µm
_05204_,27.79µm
_07754_,27.79µm
net729,27.79µm
_09935_,27.78µm
_01172_,27.775µm
_04053_,27.775µm
_03329_,27.76µm
_04353_,27.75µm
_03659_,27.73µm
_00879_,27.72µm
_02756_,27.72µm
_08317_,27.72µm
_04862_,27.71µm
_02076_,27.7µm
_08119_,27.7µm
_08326_,27.665µm
_00429_,27.66µm
_05236_,27.655µm
_02532_,27.635µm
_09094_,27.61µm
u_FIR.sum\[6\]\[13\],27.61µm
_01399_,27.6µm
_04820_,27.6µm
_03599_,27.58µm
_05080_,27.565µm
_01165_,27.55µm
_06742_,27.55µm
_07076_,27.55µm
net1931,27.55µm
_04542_,27.54µm
_10587_,27.535µm
_10805_,27.535µm
_01191_,27.52µm
_10446_,27.515µm
_10037_,27.505µm
_03915_,27.5µm
_05753_,27.5µm
_09917_,27.5µm
_00862_,27.49µm
_08774_,27.485µm
u_LMS.w\[8\]\[6\],27.485µm
_05002_,27.445µm
_04558_,27.44µm
_01468_,27.42µm
_08684_,27.42µm
_01566_,27.415µm
_04421_,27.385µm
u_FIR.sum\[7\]\[6\],27.385µm
_07935_,27.37µm
_08487_,27.37µm
_10581_,27.36µm
_06155_,27.345µm
_09951_,27.325µm
_05886_,27.32µm
_03401_,27.31µm
_11123_,27.31µm
_02240_,27.305µm
u_debug_unit.mon_w4_sync\[1\],27.295µm
_01480_,27.275µm
u_FIR.sum\[1\]\[2\],27.27µm
_04622_,27.26µm
_03710_,27.25µm
_07416_,27.225µm
_07117_,27.22µm
_08005_,27.2µm
u_s2p_input.reg_sh\[2\],27.195µm
_01991_,27.18µm
net2182,27.18µm
_08927_,27.175µm
_05336_,27.145µm
_04049_,27.14µm
_00847_,27.13µm
_08843_,27.125µm
_02151_,27.12µm
_04734_,27.12µm
_07173_,27.08µm
_04831_,27.06µm
_05193_,27.06µm
_10850_,27.06µm
_10394_,27.03µm
_05187_,27.025µm
_01456_,27.02µm
_04416_,27.02µm
_08598_,27.02µm
_10717_,27.02µm
_01004_,27.01µm
_08075_,27.01µm
u_debug_unit.mon_w3_sync\[2\],27.01µm
_03417_,26.98µm
_08156_,26.98µm
_08423_,26.97µm
_05696_,26.955µm
_08680_,26.91µm
_00934_,26.89µm
_05842_,26.89µm
_07185_,26.89µm
_01254_,26.88µm
_03408_,26.84µm
_09541_,26.84µm
_03304_,26.835µm
u_s2p_input.reg_cnt\[2\],26.82µm
_02816_,26.795µm
_01911_,26.78µm
_07343_,26.77µm
u_FIR.sum\[7\]\[4\],26.77µm
_02626_,26.765µm
_11070_,26.755µm
_08830_,26.73µm
_06390_,26.71µm
_09664_,26.71µm
net2089,26.71µm
_02603_,26.7µm
u_debug_unit.mon_w7_sync\[0\],26.695µm
u_LMS.w\[5\]\[6\],26.67µm
_10549_,26.66µm
u_FIR.sum\[4\]\[0\],26.66µm
_02655_,26.64µm
_07640_,26.64µm
_09969_,26.61µm
_01176_,26.6µm
_02121_,26.6µm
_02699_,26.59µm
_03282_,26.59µm
_05793_,26.59µm
_08900_,26.59µm
_06256_,26.58µm
_09285_,26.58µm
_04474_,26.555µm
_09941_,26.545µm
_10031_,26.53µm
_08171_,26.515µm
_09456_,26.515µm
_10388_,26.515µm
u_LMS.count\[5\],26.51µm
_01881_,26.47µm
_06855_,26.47µm
_10176_,26.46µm
_10007_,26.45µm
_01499_,26.42µm
_03625_,26.42µm
_05717_,26.42µm
net2115,26.42µm
_06824_,26.415µm
_07955_,26.41µm
_09202_,26.41µm
_10547_,26.385µm
_03356_,26.35µm
_05602_,26.35µm
_07456_,26.345µm
_05604_,26.305µm
_04869_,26.3µm
_01420_,26.29µm
_02149_,26.29µm
_03602_,26.28µm
_05346_,26.28µm
_09523_,26.28µm
_02682_,26.275µm
_06260_,26.265µm
u_LMS.w\[2\]\[2\],26.235µm
_06488_,26.18µm
_07399_,26.17µm
_05646_,26.16µm
u_LMS.w\[3\]\[7\],26.16µm
_09426_,26.145µm
_01522_,26.125µm
_08902_,26.12µm
_03642_,26.11µm
_11000_,26.1µm
_01259_,26.095µm
_04450_,26.095µm
_10653_,26.085µm
_05189_,26.07µm
_06831_,26.07µm
_11090_,26.065µm
_02519_,26.06µm
_08271_,26.06µm
_02574_,26.05µm
_04442_,26.05µm
_04447_,26.05µm
_05524_,26.05µm
_00954_,26.04µm
_05804_,25.99µm
_07239_,25.99µm
_08471_,25.99µm
_09227_,25.99µm
_10135_,25.985µm
_09692_,25.93µm
_10580_,25.93µm
_10629_,25.93µm
_10284_,25.92µm
_04592_,25.905µm
u_FIR.sum\[8\]\[15\],25.89µm
_10234_,25.885µm
_01410_,25.88µm
_06236_,25.86µm
_10398_,25.83µm
_10833_,25.83µm
_04338_,25.81µm
_04460_,25.81µm
_06288_,25.81µm
_07466_,25.81µm
_01218_,25.8µm
_06019_,25.8µm
_08341_,25.8µm
_09999_,25.8µm
_06862_,25.78µm
_10557_,25.76µm
_10363_,25.735µm
_02101_,25.695µm
u_FIR.sum\[5\]\[8\],25.685µm
_05758_,25.68µm
_09260_,25.68µm
_05719_,25.64µm
u_debug_unit.sw_reset\[7\],25.64µm
_09782_,25.63µm
_02553_,25.625µm
y_serial,25.62µm
_05615_,25.585µm
_02176_,25.58µm
net1668,25.58µm
_00931_,25.57µm
_09809_,25.57µm
_07235_,25.56µm
_08479_,25.56µm
u_FIR.sum\[4\]\[6\],25.53µm
net638,25.525µm
_03794_,25.5µm
_08159_,25.5µm
_09421_,25.5µm
_09372_,25.475µm
_01320_,25.47µm
_06787_,25.47µm
_03860_,25.465µm
_04529_,25.465µm
_06384_,25.46µm
_07242_,25.46µm
_07853_,25.46µm
_01512_,25.45µm
u_LMS.w\[7\]\[2\],25.45µm
_05525_,25.44µm
u_FIR.sum\[1\]\[7\],25.44µm
_08764_,25.42µm
_02647_,25.4µm
_06200_,25.4µm
_04541_,25.39µm
_03831_,25.35µm
_07455_,25.35µm
_02821_,25.33µm
u_p2s_output.reg_sh\[2\],25.33µm
_03555_,25.32µm
_00968_,25.305µm
_03014_,25.305µm
_06370_,25.3µm
_09961_,25.295µm
_04906_,25.27µm
_02181_,25.265µm
_01067_,25.26µm
_00948_,25.25µm
u_FIR.sum\[6\]\[3\],25.245µm
net445,25.23µm
_02189_,25.22µm
_01746_,25.21µm
_09960_,25.21µm
_00920_,25.2µm
_06731_,25.2µm
_07012_,25.185µm
_08198_,25.185µm
_04724_,25.165µm
u_spi_slave.rx_shift\[4\],25.16µm
_04668_,25.14µm
_04013_,25.135µm
