2026-01-24 18:49:15 +0000: Memory Usage (424476K) : Starting running IHP-SG13G2 KLayout DRC runset on /home/designer/shared/FSE-LMS/design/runs/RUN_2026-01-24_18-07-11/57-magic-streamout/top.gds
2026-01-24 18:49:15 +0000: Memory Usage (424476K) : Ruby Version for klayout: 3.3.10
2026-01-24 18:49:16 +0000: Memory Usage (482972K) : Loading database to memory is complete.
2026-01-24 18:49:16 +0000: Memory Usage (482972K) : IHP-SG13G2 KLayout DRC runset output at: /home/designer/shared/FSE-LMS/design/runs/RUN_2026-01-24_18-07-11/64-klayout-drc/reports/drc.klayout.lyrdb
2026-01-24 18:49:16 +0000: Memory Usage (482972K) : Evaluate switches.
2026-01-24 18:49:16 +0000: Memory Usage (482972K) : tables selected: main
2026-01-24 18:49:16 +0000: Memory Usage (482972K) : KLayout will use 16 thread(s) in tiling mode.
2026-01-24 18:49:16 +0000: Memory Usage (482972K) : deep mode is enabled.
2026-01-24 18:49:16 +0000: Memory Usage (482972K) : FEOL enabled: true
2026-01-24 18:49:16 +0000: Memory Usage (482972K) : BEOL enabled: true
2026-01-24 18:49:16 +0000: Memory Usage (482972K) : OFFGRID enabled: true
2026-01-24 18:49:16 +0000: Memory Usage (482972K) : PIN enabled: true
2026-01-24 18:49:16 +0000: Memory Usage (482972K) : FORBIDDEN enabled: true
2026-01-24 18:49:16 +0000: Memory Usage (482972K) : RECOMMENDED enabled: false
2026-01-24 18:49:16 +0000: Memory Usage (482972K) : PreCheck DRC enabled: false
2026-01-24 18:49:16 +0000: Memory Usage (482972K) : CONNECTIVITY_RULES enabled: true.
2026-01-24 18:49:16 +0000: Memory Usage (482972K) : Read in polygons from layers.
2026-01-24 18:49:16 +0000: Memory Usage (487708K) : activ_drw has 329055 polygons
2026-01-24 18:49:16 +0000: Memory Usage (487836K) : activ_pin has 0 polygons
2026-01-24 18:49:16 +0000: Memory Usage (487836K) : activ_mask has 0 polygons
2026-01-24 18:49:16 +0000: Memory Usage (487836K) : activ_filler has 0 polygons
2026-01-24 18:49:16 +0000: Memory Usage (487836K) : activ_nofill has 0 polygons
2026-01-24 18:49:16 +0000: Memory Usage (487836K) : activ_opc has 0 polygons
2026-01-24 18:49:16 +0000: Memory Usage (487836K) : activ_iopc has 0 polygons
2026-01-24 18:49:16 +0000: Memory Usage (487836K) : activ_noqrc has 0 polygons
2026-01-24 18:49:16 +0000: Memory Usage (487836K) : biwind_drw has 0 polygons
2026-01-24 18:49:16 +0000: Memory Usage (487836K) : biwind_opc has 0 polygons
2026-01-24 18:49:16 +0000: Memory Usage (487836K) : pemwind_drw has 0 polygons
2026-01-24 18:49:16 +0000: Memory Usage (487836K) : gatpoly_drw has 261597 polygons
2026-01-24 18:49:16 +0000: Memory Usage (487836K) : gatpoly_pin has 0 polygons
2026-01-24 18:49:16 +0000: Memory Usage (487836K) : gatpoly_filler has 0 polygons
2026-01-24 18:49:16 +0000: Memory Usage (487836K) : gatpoly_nofill has 0 polygons
2026-01-24 18:49:16 +0000: Memory Usage (487836K) : gatpoly_opc has 0 polygons
2026-01-24 18:49:16 +0000: Memory Usage (487836K) : gatpoly_iopc has 0 polygons
2026-01-24 18:49:16 +0000: Memory Usage (487836K) : gatpoly_noqrc has 0 polygons
2026-01-24 18:49:16 +0000: Memory Usage (487836K) : cont_drw has 2331128 polygons
2026-01-24 18:49:16 +0000: Memory Usage (487836K) : cont_opc has 0 polygons
2026-01-24 18:49:16 +0000: Memory Usage (487836K) : nsd_drw has 0 polygons
2026-01-24 18:49:16 +0000: Memory Usage (487836K) : nsd_block has 0 polygons
2026-01-24 18:49:16 +0000: Memory Usage (488476K) : metal1_drw has 379246 polygons
2026-01-24 18:49:16 +0000: Memory Usage (488476K) : metal1_pin has 209072 polygons
2026-01-24 18:49:16 +0000: Memory Usage (488476K) : metal1_mask has 0 polygons
2026-01-24 18:49:16 +0000: Memory Usage (488476K) : metal1_filler has 0 polygons
2026-01-24 18:49:16 +0000: Memory Usage (488476K) : metal1_nofill has 0 polygons
2026-01-24 18:49:16 +0000: Memory Usage (488476K) : metal1_slit has 0 polygons
2026-01-24 18:49:16 +0000: Memory Usage (488604K) : metal1_text has 208020 polygons
2026-01-24 18:49:16 +0000: Memory Usage (488604K) : metal1_opc has 0 polygons
2026-01-24 18:49:16 +0000: Memory Usage (488604K) : metal1_noqrc has 0 polygons
2026-01-24 18:49:16 +0000: Memory Usage (488604K) : metal1_res has 0 polygons
2026-01-24 18:49:16 +0000: Memory Usage (488604K) : metal1_iprobe has 0 polygons
2026-01-24 18:49:16 +0000: Memory Usage (488604K) : metal1_diffprb has 0 polygons
2026-01-24 18:49:16 +0000: Memory Usage (488604K) : passiv_drw has 0 polygons
2026-01-24 18:49:16 +0000: Memory Usage (488604K) : passiv_pin has 0 polygons
2026-01-24 18:49:16 +0000: Memory Usage (488604K) : passiv_sbump has 0 polygons
2026-01-24 18:49:16 +0000: Memory Usage (488604K) : passiv_pillar has 0 polygons
2026-01-24 18:49:16 +0000: Memory Usage (488604K) : passiv_pdl has 0 polygons
2026-01-24 18:49:16 +0000: Memory Usage (492060K) : metal2_drw has 124496 polygons
2026-01-24 18:49:16 +0000: Memory Usage (492060K) : metal2_pin has 2 polygons
2026-01-24 18:49:16 +0000: Memory Usage (492060K) : metal2_mask has 0 polygons
2026-01-24 18:49:16 +0000: Memory Usage (492060K) : metal2_filler has 0 polygons
2026-01-24 18:49:16 +0000: Memory Usage (492060K) : metal2_nofill has 0 polygons
2026-01-24 18:49:16 +0000: Memory Usage (492060K) : metal2_slit has 0 polygons
2026-01-24 18:49:17 +0000: Memory Usage (492060K) : metal2_text has 10867 polygons
2026-01-24 18:49:17 +0000: Memory Usage (492060K) : metal2_opc has 0 polygons
2026-01-24 18:49:17 +0000: Memory Usage (492060K) : metal2_noqrc has 0 polygons
2026-01-24 18:49:17 +0000: Memory Usage (492060K) : metal2_res has 0 polygons
2026-01-24 18:49:17 +0000: Memory Usage (492060K) : metal2_iprobe has 0 polygons
2026-01-24 18:49:17 +0000: Memory Usage (492060K) : metal2_diffprb has 0 polygons
2026-01-24 18:49:17 +0000: Memory Usage (492060K) : baspoly_drw has 0 polygons
2026-01-24 18:49:17 +0000: Memory Usage (492060K) : baspoly_pin has 0 polygons
2026-01-24 18:49:17 +0000: Memory Usage (492060K) : psd_drw has 162671 polygons
2026-01-24 18:49:17 +0000: Memory Usage (492060K) : nldb_drw has 0 polygons
2026-01-24 18:49:17 +0000: Memory Usage (492060K) : digibnd_drw has 0 polygons
2026-01-24 18:49:17 +0000: Memory Usage (493084K) : via1_drw has 62522 polygons
2026-01-24 18:49:17 +0000: Memory Usage (493084K) : backmetal1_drw has 0 polygons
2026-01-24 18:49:17 +0000: Memory Usage (493084K) : backmetal1_pin has 0 polygons
2026-01-24 18:49:17 +0000: Memory Usage (493084K) : backmetal1_mask has 0 polygons
2026-01-24 18:49:17 +0000: Memory Usage (493084K) : backmetal1_filler has 0 polygons
2026-01-24 18:49:17 +0000: Memory Usage (493084K) : backmetal1_nofill has 0 polygons
2026-01-24 18:49:17 +0000: Memory Usage (493084K) : backmetal1_slit has 0 polygons
2026-01-24 18:49:17 +0000: Memory Usage (493084K) : backmetal1_text has 0 polygons
2026-01-24 18:49:17 +0000: Memory Usage (493084K) : backmetal1_opc has 0 polygons
2026-01-24 18:49:17 +0000: Memory Usage (493084K) : backmetal1_noqrc has 0 polygons
2026-01-24 18:49:17 +0000: Memory Usage (493084K) : backmetal1_res has 0 polygons
2026-01-24 18:49:17 +0000: Memory Usage (493084K) : backmetal1_iprobe has 0 polygons
2026-01-24 18:49:17 +0000: Memory Usage (493084K) : backmetal1_diffprb has 0 polygons
2026-01-24 18:49:17 +0000: Memory Usage (493084K) : backpassiv_drw has 0 polygons
2026-01-24 18:49:17 +0000: Memory Usage (493084K) : res_drw has 0 polygons
2026-01-24 18:49:17 +0000: Memory Usage (493084K) : sram_drw has 0 polygons
2026-01-24 18:49:17 +0000: Memory Usage (493084K) : trans_drw has 0 polygons
2026-01-24 18:49:17 +0000: Memory Usage (493084K) : ind_drw has 0 polygons
2026-01-24 18:49:17 +0000: Memory Usage (493084K) : ind_pin has 0 polygons
2026-01-24 18:49:17 +0000: Memory Usage (493084K) : ind_text has 0 polygons
2026-01-24 18:49:17 +0000: Memory Usage (493084K) : salblock_drw has 0 polygons
2026-01-24 18:49:17 +0000: Memory Usage (494748K) : via2_drw has 58077 polygons
2026-01-24 18:49:17 +0000: Memory Usage (494748K) : metal3_drw has 27084 polygons
2026-01-24 18:49:17 +0000: Memory Usage (495132K) : metal3_pin has 6 polygons
2026-01-24 18:49:17 +0000: Memory Usage (495132K) : metal3_mask has 0 polygons
2026-01-24 18:49:17 +0000: Memory Usage (495132K) : metal3_filler has 0 polygons
2026-01-24 18:49:17 +0000: Memory Usage (495132K) : metal3_nofill has 0 polygons
2026-01-24 18:49:17 +0000: Memory Usage (495132K) : metal3_slit has 0 polygons
2026-01-24 18:49:17 +0000: Memory Usage (495132K) : metal3_text has 3698 polygons
2026-01-24 18:49:17 +0000: Memory Usage (495132K) : metal3_opc has 0 polygons
2026-01-24 18:49:17 +0000: Memory Usage (495132K) : metal3_noqrc has 0 polygons
2026-01-24 18:49:17 +0000: Memory Usage (495132K) : metal3_res has 0 polygons
2026-01-24 18:49:17 +0000: Memory Usage (495132K) : metal3_iprobe has 0 polygons
2026-01-24 18:49:17 +0000: Memory Usage (495132K) : metal3_diffprb has 0 polygons
2026-01-24 18:49:17 +0000: Memory Usage (496028K) : nwell_drw has 81174 polygons
2026-01-24 18:49:17 +0000: Memory Usage (496028K) : nwell_pin has 0 polygons
2026-01-24 18:49:17 +0000: Memory Usage (496028K) : nbulay_drw has 0 polygons
2026-01-24 18:49:17 +0000: Memory Usage (496028K) : nbulay_pin has 0 polygons
2026-01-24 18:49:17 +0000: Memory Usage (496028K) : nbulay_block has 0 polygons
2026-01-24 18:49:17 +0000: Memory Usage (496028K) : emwind_drw has 0 polygons
2026-01-24 18:49:17 +0000: Memory Usage (496028K) : emwind_opc has 0 polygons
2026-01-24 18:49:17 +0000: Memory Usage (496028K) : deepco_drw has 0 polygons
2026-01-24 18:49:17 +0000: Memory Usage (496028K) : deepco_drw has 0 polygons
2026-01-24 18:49:17 +0000: Memory Usage (496028K) : mim_drw has 0 polygons
2026-01-24 18:49:17 +0000: Memory Usage (496028K) : edgeseal_drw has 0 polygons
2026-01-24 18:49:17 +0000: Memory Usage (496028K) : edgeseal_bound has 0 polygons
2026-01-24 18:49:17 +0000: Memory Usage (496028K) : substrate_drw has 0 polygons
2026-01-24 18:49:17 +0000: Memory Usage (496028K) : substrate_text has 0 polygons
2026-01-24 18:49:17 +0000: Memory Usage (496028K) : dfpad_drw has 0 polygons
2026-01-24 18:49:17 +0000: Memory Usage (496028K) : dfpad_pillar has 0 polygons
2026-01-24 18:49:17 +0000: Memory Usage (496028K) : dfpad_sbump has 0 polygons
2026-01-24 18:49:17 +0000: Memory Usage (496028K) : thickgateox_drw has 0 polygons
2026-01-24 18:49:17 +0000: Memory Usage (496028K) : pldb_drw has 0 polygons
2026-01-24 18:49:17 +0000: Memory Usage (496028K) : pwell_drw has 0 polygons
2026-01-24 18:49:17 +0000: Memory Usage (496028K) : pwell_pin has 0 polygons
2026-01-24 18:49:17 +0000: Memory Usage (496028K) : pwell_block has 0 polygons
2026-01-24 18:49:17 +0000: Memory Usage (496028K) : ic_drw has 0 polygons
2026-01-24 18:49:17 +0000: Memory Usage (496028K) : via3_drw has 17100 polygons
2026-01-24 18:49:17 +0000: Memory Usage (496028K) : metal4_drw has 3706 polygons
2026-01-24 18:49:17 +0000: Memory Usage (496028K) : metal4_pin has 0 polygons
2026-01-24 18:49:17 +0000: Memory Usage (496028K) : metal4_mask has 0 polygons
