net,length_um
clknet_leaf_16_clkA,203.305µm
net1015,202.72µm
_02760_,202.705µm
net177,202.24µm
_07805_,202.195µm
net299,202.165µm
_02762_,201.48µm
_03223_,200.965µm
_07897_,200.86µm
_07906_,200.675µm
coeff_force_packed\[12\],200.095µm
net887,200.06µm
net897,199.465µm
u_FIR.w\[5\]\[6\],199.39µm
net866,199.365µm
net799,198.72µm
net937,197.855µm
net130,197.845µm
clknet_4_14_0_clkA,197.64µm
_03308_,197.41µm
net847,197.07µm
coeff_force_packed\[16\],196.765µm
net385,196.69µm
clknet_leaf_31_clkA,196.495µm
u_FIR.w\[2\]\[6\],196.475µm
net606,195.97µm
net507,195.875µm
net963,195.86µm
net872,195.85µm
_01624_,195.65µm
net228,195.515µm
net273,195.27µm
net1017,195.15µm
_03273_,194.985µm
_02755_,194.805µm
net293,194.665µm
u_FIR.w\[7\]\[6\],194.25µm
net645,194.235µm
net844,194.205µm
net1013,193.34µm
net92,193.335µm
net626,193.205µm
net730,192.895µm
net862,192.885µm
net182,192.825µm
_03405_,192.755µm
net196,192.735µm
net114,192.055µm
u_FIR.w\[6\]\[4\],191.99µm
clknet_leaf_0_clkA,191.385µm
net143,191.175µm
net381,190.99µm
net209,190.84µm
net425,190.685µm
clknet_4_3_0_clkA,190.625µm
net879,190.58µm
net302,190.56µm
_02757_,190.32µm
_03059_,190.02µm
_01579_,189.69µm
_03434_,189.52µm
net896,189.225µm
_02154_,189.02µm
_07876_,188.935µm
net837,188.81µm
_07878_,188.72µm
net983,188.705µm
clknet_leaf_13_clkA,188.345µm
_03404_,188.305µm
net574,188.175µm
_02767_,188.135µm
clknet_4_9_0_clkA,188.015µm
net483,187.98µm
clknet_leaf_50_clkA,187.685µm
net617,187.63µm
net185,187.365µm
_07880_,187.35µm
_07803_,186.97µm
clknet_leaf_46_clkA,186.92µm
u_LMS.x_r\[4\]\[5\],186.915µm
net175,186.83µm
net246,186.73µm
net865,186.665µm
net786,186.64µm
_01571_,186.49µm
net888,186.065µm
_07858_,186.01µm
net332,185.995µm
net681,185.76µm
net484,185.035µm
coeff_force_packed\[14\],184.84µm
net457,184.4µm
net1023,184.205µm
net375,183.96µm
_07860_,183.9µm
_07801_,183.485µm
net824,183.125µm
net133,182.52µm
net685,182.52µm
_09584_,182.15µm
clknet_leaf_61_clkA,181.975µm
_07889_,181.935µm
net106,181.41µm
_01577_,181.09µm
net868,181.085µm
_01559_,181.05µm
_07856_,180.88µm
_07862_,180.64µm
net904,180.4µm
net620,180.275µm
net480,179.92µm
coeff_force_packed\[46\],179.75µm
net955,179.48µm
net797,179.27µm
clknet_leaf_43_clkA,179.165µm
net390,179.12µm
_07884_,179.04µm
net482,178.875µm
net195,178.785µm
net486,178.72µm
net697,178.525µm
clknet_leaf_37_clkA,178.485µm
net100,178.435µm
net857,178.28µm
net296,177.775µm
net817,177.64µm
clknet_4_6_0_clkA,177.445µm
coeff_force_packed\[44\],177.16µm
clknet_leaf_66_clkA,177.01µm
net908,176.62µm
net696,176.485µm
net135,176.47µm
net215,176.46µm
net321,176.455µm
net85,176.18µm
net108,175.97µm
net822,175.825µm
net10,175.745µm
net641,175.685µm
net110,175.655µm
net725,175.62µm
net848,175.445µm
u_FIR.w\[3\]\[6\],175.4µm
_01574_,175.38µm
net913,175.335µm
clknet_leaf_38_clkA,175.325µm
net838,175.14µm
_02811_,175.01µm
net97,174.895µm
net157,174.855µm
net999,174.46µm
_07882_,174.33µm
_01660_,174.01µm
net909,173.795µm
_01567_,173.61µm
net882,173.485µm
net542,173.42µm
net682,173.39µm
_07950_,173.335µm
clknet_leaf_65_clkA,173.22µm
u_FIR.w\[1\]\[6\],173.13µm
_07795_,173.05µm
net234,172.445µm
u_LMS.x_r\[1\]\[3\],172.395µm
clknet_leaf_47_clkA,172.26µm
net700,172.245µm
net99,172.085µm
net1041,172.08µm
clknet_4_15_0_clkA,171.75µm
net395,171.685µm
clknet_4_13_0_clkA,171.505µm
clknet_leaf_22_clkA,171.355µm
net757,171.285µm
net95,170.445µm
coeff_force_packed\[41\],170.405µm
net323,170.025µm
clknet_leaf_10_clkA,169.74µm
net115,169.425µm
net778,169.27µm
clknet_leaf_23_clkA,168.9µm
net760,168.86µm
net795,168.62µm
u_spi_slave.tx_shift\[15\],168.61µm
clknet_leaf_62_clkA,168.405µm
_06921_,168.33µm
net113,168.12µm
u_FIR.w\[0\]\[6\],167.925µm
net602,167.865µm
net193,167.83µm
_07797_,167.66µm
_07799_,167.055µm
net593,167.04µm
net734,166.865µm
net109,166.785µm
net256,166.255µm
net88,166.155µm
net316,166.085µm
_07387_,166.03µm
_03416_,165.83µm
u_debug_unit.mon_w7_sync\[6\],165.78µm
_07854_,165.73µm
net1007,165.665µm
coeff_force_packed\[43\],165.64µm
net704,165.565µm
net478,165.335µm
u_FIR.w\[7\]\[2\],165.315µm
_03060_,165.125µm
net612,164.71µm
net738,164.63µm
net328,164.385µm
net932,164.285µm
_01565_,164.09µm
clknet_leaf_36_clkA,164.09µm
u_debug_unit.mon_w5_sync\[6\],163.89µm
u_FIR.w\[2\]\[4\],163.795µm
net921,163.735µm
net514,163.63µm
net867,163.215µm
net622,163.085µm
net917,162.82µm
net350,162.8µm
net833,162.73µm
net842,162.685µm
_08501_,162.59µm
net673,162.5µm
net903,162.185µm
net35,162.15µm
net671,162.03µm
net878,161.85µm
clknet_leaf_30_clkA,161.845µm
net843,161.67µm
u_FIR.w\[1\]\[1\],161.29µm
net519,161.115µm
clknet_leaf_25_clkA,160.96µm
u_FIR.w\[3\]\[4\],160.88µm
net436,160.84µm
clknet_leaf_29_clkA,160.715µm
net1018,160.66µm
coeff_force_packed\[17\],160.59µm
_03069_,160.54µm
coeff_force_packed\[27\],160.315µm
net732,159.865µm
net250,159.75µm
net51,159.345µm
net206,159.14µm
net624,159.005µm
net1045,158.99µm
coeff_force_packed\[35\],158.9µm
net920,158.58µm
coeff_force_packed\[18\],158.5µm
net621,158.455µm
net989,158.41µm
clknet_leaf_48_clkA,158.32µm
net745,158.28µm
u_LMS.x_r\[5\]\[2\],158.215µm
net540,158.06µm
clknet_leaf_26_clkA,157.955µm
net876,157.835µm
net711,157.77µm
_03438_,157.695µm
_00974_,157.57µm
u_FIR.sum\[2\]\[6\],157.55µm
net678,157.345µm
net139,156.945µm
net892,156.87µm
clknet_leaf_64_clkA,156.87µm
net444,156.8µm
net863,156.38µm
_03233_,155.935µm
_07864_,155.9µm
net717,155.855µm
u_LMS.x_r\[5\]\[5\],155.835µm
net852,155.62µm
net427,155.57µm
net557,155.57µm
_09643_,155.47µm
clknet_leaf_40_clkA,154.54µm
_03296_,154.32µm
net176,154.18µm
net839,154.105µm
net50,153.995µm
clknet_leaf_8_clkA,153.785µm
clknet_leaf_34_clkA,153.72µm
net148,153.58µm
net982,152.95µm
u_FIR.w\[1\]\[4\],152.935µm
net150,152.82µm
net327,152.74µm
_02163_,152.45µm
net363,152.245µm
net391,152.12µm
net505,152.055µm
_01031_,151.92µm
net82,151.92µm
coeff_force_packed\[19\],151.805µm
_02304_,151.795µm
net464,151.65µm
net809,151.515µm
clknet_leaf_24_clkA,151.085µm
net936,150.985µm
net781,150.97µm
_02276_,150.855µm
net297,150.85µm
net189,150.8µm
net388,150.685µm
net827,150.685µm
net19,150.67µm
net900,150.505µm
net916,150.07µm
_03241_,149.945µm
net1037,149.86µm
_09587_,149.75µm
net703,149.66µm
net790,149.565µm
net14,149.405µm
clknet_leaf_60_clkA,148.935µm
net714,148.915µm
coeff_force_packed\[22\],148.88µm
net435,148.74µm
_03407_,148.65µm
net229,148.49µm
_00976_,148.41µm
net611,148.41µm
u_LMS.x_r\[6\]\[7\],148.34µm
net202,148.33µm
net422,148.185µm
clknet_leaf_54_clkA,148.125µm
coeff_force_packed\[25\],148.025µm
net591,147.995µm
_00978_,147.41µm
net303,147µm
net945,146.78µm
net373,146.775µm
net1029,146.67µm
net736,146.63µm
u_LMS.x_r\[0\]\[7\],146.57µm
net301,146.45µm
net590,146.245µm
net831,146.045µm
u_LMS.x_r\[5\]\[4\],146.01µm
net980,145.96µm
net894,145.64µm
_02168_,145.4µm
clknet_leaf_57_clkA,145.395µm
net899,145.05µm
net489,144.755µm
net933,144.68µm
net48,144.66µm
net950,144.655µm
spi_wdata\[6\],144.505µm
u_debug_unit.mon_w5_sync\[3\],144.5µm
net1035,144.49µm
net535,144.435µm
net588,144.395µm
clknet_leaf_41_clkA,144.37µm
clknet_leaf_27_clkA,144.195µm
_03385_,144.155µm
_02251_,144.075µm
_07816_,143.98µm
_03254_,143.875µm
net60,143.765µm
net661,143.765µm
net224,143.5µm
_09593_,143.4µm
net255,143.28µm
clknet_leaf_59_clkA,143.2µm
net219,143.01µm
coeff_force_packed\[9\],142.95µm
_02216_,142.92µm
net227,142.9µm
net6,142.895µm
net637,142.86µm
_09596_,142.67µm
_09598_,142.56µm
net789,142.545µm
net874,142.515µm
net83,142.345µm
net701,142.24µm
net368,142.145µm
net313,141.865µm
_10879_,141.625µm
_03400_,141.26µm
net849,141.005µm
net204,140.795µm
net145,140.74µm
net52,140.72µm
net473,140.04µm
net860,139.925µm
coeff_force_packed\[24\],139.74µm
u_LMS.x_r\[6\]\[5\],139.68µm
_07933_,139.645µm
clknet_leaf_5_clkA,139.195µm
_07739_,139.05µm
net618,139.01µm
net131,138.98µm
_02170_,138.85µm
net371,138.82µm
net445,138.715µm
coeff_force_packed\[50\],138.45µm
_04390_,138.39µm
u_FIR.w\[3\]\[1\],138.335µm
_00983_,138.315µm
_09702_,138.185µm
_09591_,137.89µm
net906,137.81µm
coeff_force_packed\[36\],137.71µm
net829,137.685µm
net639,137.625µm
net1002,137.61µm
_04374_,137.4µm
net928,137.375µm
net947,137.16µm
net669,136.995µm
net552,136.93µm
net712,136.88µm
coeff_force_packed\[13\],136.555µm
net235,136.535µm
clknet_leaf_51_clkA,136.52µm
_03248_,136.195µm
net216,136.11µm
_09589_,136.04µm
net207,136.02µm
net959,135.86µm
net392,135.85µm
net419,135.73µm
_03412_,135.505µm
clknet_leaf_68_clkA,135.47µm
clknet_leaf_42_clkA,135.395µm
net156,135.39µm
net832,135.33µm
_00980_,135.29µm
clknet_leaf_45_clkA,135.255µm
net38,134.925µm
clknet_leaf_21_clkA,134.715µm
net267,134.7µm
net881,134.66µm
_02165_,134.545µm
net775,134.52µm
u_debug_unit.mon_w2_sync\[6\],134.505µm
net578,134.37µm
clknet_leaf_20_clkA,134.33µm
coeff_force_packed\[5\],134.21µm
u_FIR.w\[0\]\[1\],134.17µm
net698,134.15µm
net636,134.05µm
clknet_leaf_28_clkA,133.885µm
net978,133.865µm
net89,133.835µm
net679,133.765µm
u_debug_unit.mon_w5_sync\[2\],133.7µm
u_LMS.x_r\[1\]\[6\],133.2µm
clknet_leaf_53_clkA,133.13µm
net167,133.115µm
net841,132.825µm
u_FIR.w\[2\]\[2\],132.74µm
u_FIR.sum\[8\]\[11\],132.68µm
clknet_leaf_56_clkA,132.575µm
net870,132.355µm
_02158_,132.31µm
_04411_,132.27µm
_07814_,132.14µm
net222,131.99µm
net919,131.83µm
net780,131.595µm
net830,131.58µm
net580,131.255µm
net1051,131.255µm
clknet_leaf_3_clkA,131.15µm
_03410_,131.12µm
net898,131.02µm
coeff_force_packed\[38\],130.81µm
net788,130.76µm
net300,130.715µm
u_debug_unit.mon_w2_sync\[1\],130.605µm
net438,130.48µm
net329,130.455µm
net723,130.395µm
coeff_force_packed\[23\],130.3µm
coeff_force_packed\[21\],130.28µm
net529,130.2µm
net536,130.2µm
net692,129.94µm
clknet_leaf_52_clkA,129.9µm
net59,129.815µm
net948,129.72µm
net973,129.335µm
net57,129.26µm
clknet_leaf_15_clkA,129.255µm
coeff_force_packed\[10\],129.235µm
net779,129.2µm
u_debug_unit.mon_w5_sync\[1\],128.96µm
_03591_,128.905µm
coeff_force_packed\[49\],128.835µm
clknet_leaf_14_clkA,128.81µm
coeff_force_packed\[20\],128.8µm
net594,128.79µm
net1000,128.59µm
net951,128.575µm
u_LMS.x_r\[4\]\[4\],128.19µm
net286,128.16µm
net625,128.16µm
u_LMS.x_r\[0\]\[3\],128.01µm
net640,127.875µm
net496,127.835µm
net389,127.815µm
clknet_leaf_7_clkA,127.78µm
_07735_,127.765µm
u_FIR.w\[3\]\[2\],127.63µm
clknet_leaf_44_clkA,127.55µm
net856,127.53µm
u_debug_unit.mon_w6_sync\[2\],127.495µm
net632,127.435µm
net889,127.165µm
net943,127.125µm
net785,126.815µm
clknet_leaf_55_clkA,126.71µm
u_FIR.w\[1\]\[2\],126.69µm
net294,126.685µm
_01659_,126.67µm
net412,126.37µm
net798,126.3µm
_09122_,126.08µm
net512,126µm
u_LMS.x_r\[2\]\[5\],125.88µm
_03456_,125.81µm
_07824_,125.775µm
net1043,125.765µm
_03418_,125.73µm
net186,125.71µm
net996,125.315µm
net815,125.215µm
_03264_,125.04µm
_02160_,124.845µm
net243,124.77µm
_03268_,124.535µm
net39,124.49µm
net263,124.25µm
net326,123.815µm
net763,123.72µm
_07743_,123.705µm
net416,123.685µm
_00985_,123.61µm
net828,123.54µm
_03227_,122.965µm
net306,122.92µm
net823,122.685µm
coeff_force_packed\[45\],122.68µm
net859,122.675µm
clknet_leaf_33_clkA,122.65µm
coeff_force_packed\[8\],122.5µm
u_FIR.sum\[2\]\[7\],122.465µm
_07834_,122.305µm
net729,122.185µm
net713,121.88µm
net27,121.63µm
u_FIR.w\[0\]\[5\],121.375µm
net492,121.345µm
net807,121.31µm
u_debug_unit.mon_w2_sync\[0\],121.3µm
net812,121.245µm
net610,121.165µm
net315,121.15µm
coeff_force_packed\[4\],121.025µm
u_debug_unit.mon_w6_sync\[6\],121.02µm
_03224_,120.85µm
net733,120.665µm
net596,120.64µm
_03064_,120.52µm
net295,120.515µm
_01072_,120.405µm
u_FIR.w\[7\]\[1\],120.145µm
_03516_,120.05µm
spi_wdata\[4\],120.01µm
net7,119.99µm
net159,119.92µm
u_FIR.w\[2\]\[1\],119.9µm
u_FIR.w\[7\]\[4\],119.9µm
u_FIR.w\[5\]\[4\],119.805µm
net575,119.775µm
u_FIR.w\[8\]\[2\],119.75µm
net471,119.65µm
_03234_,119.645µm
net58,119.54µm
net15,119.4µm
net305,119.03µm
net974,118.975µm
_07840_,118.87µm
net8,118.745µm
net252,118.635µm
net915,118.52µm
_07781_,118.275µm
net912,118.23µm
_03228_,117.995µm
_09678_,117.975µm
_07765_,117.895µm
clknet_leaf_18_clkA,117.695µm
net647,117.655µm
_04475_,117.42µm
net762,117.42µm
net693,117.105µm
clknet_leaf_35_clkA,117.09µm
net949,117.075µm
net846,116.93µm
net929,116.615µm
net54,116.5µm
_08459_,116.48µm
_03539_,116.33µm
clknet_leaf_19_clkA,116.02µm
_03240_,115.945µm
net534,115.84µm
net319,115.81µm
net508,115.785µm
net600,115.725µm
net805,115.695µm
net598,115.66µm
coeff_force_packed\[26\],115.655µm
u_FIR.w\[0\]\[3\],115.545µm
_04439_,115.5µm
net442,115.33µm
net806,115.115µm
u_debug_unit.mon_w5_sync\[5\],115.04µm
_07818_,114.97µm
net434,114.665µm
net56,114.61µm
u_LMS.w\[3\]\[24\],114.55µm
_10851_,114.525µm
net749,114.485µm
net1020,114.37µm
net958,114.22µm
_03315_,114.17µm
coeff_force_packed\[7\],114.14µm
net751,114.09µm
u_FIR.w\[0\]\[4\],114.08µm
net911,113.92µm
u_FIR.w\[3\]\[3\],113.295µm
net976,113.17µm
_07844_,112.925µm
net925,112.805µm
net121,112.755µm
_03301_,112.73µm
net1014,112.715µm
u_FIR.sum\[2\]\[0\],112.7µm
_03058_,112.65µm
net32,112.58µm
_03260_,112.52µm
_03244_,112.055µm
net615,111.99µm
net939,111.88µm
net699,111.65µm
clknet_leaf_67_clkA,111.64µm
net772,111.625µm
net374,111.425µm
net743,111.205µm
_03272_,111.19µm
_07755_,111.14µm
_01710_,111.06µm
net886,111.055µm
_03242_,110.84µm
net573,110.64µm
net885,110.49µm
net961,110.49µm
net654,110.375µm
net384,110.315µm
_10168_,110.11µm
net709,110.035µm
_03424_,109.55µm
net155,109.49µm
net684,109.385µm
u_FIR.w\[0\]\[2\],109.36µm
spi_wr_en,109.15µm
net539,109.07µm
_07967_,108.73µm
net880,108.62µm
net579,108.54µm
net802,108.395µm
_03067_,108.35µm
_03265_,108.345µm
net977,108.325µm
net761,108.295µm
_02871_,108.26µm
clknet_leaf_17_clkA,108.09µm
_07820_,107.96µm
net687,107.925µm
net20,107.825µm
net1006,107.4µm
net33,107.39µm
_07777_,107.23µm
net902,107.205µm
clknet_leaf_58_clkA,107.105µm
net715,107.1µm
_07775_,107.06µm
net510,107.055µm
net179,106.94µm
u_debug_unit.mon_w2_sync\[5\],106.78µm
net22,106.775µm
net537,106.615µm
_03219_,106.57µm
net1033,106.515µm
_10387_,106.425µm
net634,106.245µm
coeff_force_packed\[47\],106.2µm
net660,105.915µm
net311,105.795µm
net309,105.75µm
net609,105.67µm
net55,105.55µm
net220,105.54µm
net769,105.405µm
u_LMS.x_r\[3\]\[5\],105.32µm
net362,105.315µm
_03247_,104.97µm
net386,104.91µm
net953,104.84µm
_01119_,104.765µm
net597,104.695µm
_07741_,104.59µm
_07836_,104.52µm
u_LMS.x_r\[4\]\[2\],104.435µm
_03066_,104.395µm
coeff_force_packed\[2\],104.325µm
_03276_,104.29µm
u_FIR.w\[8\]\[6\],104.11µm
u_debug_unit.mon_w2_sync\[3\],104µm
net667,103.995µm
net770,103.89µm
_07779_,103.625µm
net607,103.56µm
_08524_,103.505µm
net382,103.41µm
_07842_,103.4µm
net24,103.26µm
u_LMS.x_r\[6\]\[4\],103.1µm
net747,102.86µm
net582,102.845µm
net992,102.79µm
_03255_,102.775µm
net426,102.635µm
net237,102.59µm
_07737_,102.48µm
net493,102.46µm
net1034,102.37µm
u_debug_unit.mon_w3_sync\[3\],102.32µm
_03278_,102.25µm
net338,102.05µm
_03347_,101.965µm
coeff_force_packed\[37\],101.765µm
u_LMS.w\[7\]\[24\],101.65µm
_09680_,101.34µm
u_FIR.sum\[3\]\[0\],101.29µm
net934,101.095µm
_07533_,100.95µm
net716,100.79µm
net17,100.765µm
net931,100.715µm
net592,100.65µm
_07069_,100.63µm
_03467_,100.59µm
_03472_,100.58µm
net708,100.415µm
_03370_,100.41µm
net366,100.395µm
net952,100.31µm
net36,100.215µm
_03435_,100.15µm
net1024,100.13µm
net564,99.95µm
net601,99.87µm
net787,99.73µm
net691,99.625µm
u_debug_unit.mon_w7_sync\[2\],99.51µm
net509,99.435µm
net572,99.39µm
net677,99.34µm
net984,99.255µm
net278,99.235µm
net41,99.125µm
net324,98.975µm
u_FIR.w\[4\]\[2\],98.97µm
net680,98.74µm
u_debug_unit.mon_w2_sync\[4\],98.3µm
net447,98.3µm
u_FIR.w\[7\]\[3\],98.145µm
net43,97.92µm
net718,97.84µm
net792,97.485µm
_07761_,97.445µm
net488,97.4µm
coeff_force_packed\[11\],97.38µm
net707,97.245µm
net972,97.16µm
net965,97.12µm
_03377_,96.97µm
net1040,96.855µm
net11,96.735µm
u_debug_unit.mon_w6_sync\[1\],96.73µm
net771,96.61µm
net467,96.55µm
_10292_,96.54µm
_07745_,96.49µm
net550,96.46µm
_06586_,96.44µm
net646,96.44µm
net672,96.32µm
_03485_,96.24µm
net154,96.015µm
net463,95.965µm
net30,95.95µm
u_FIR.w\[3\]\[5\],95.845µm
coeff_force_packed\[30\],95.835µm
u_FIR.w\[4\]\[3\],95.805µm
u_FIR.sum\[2\]\[8\],95.53µm
_03575_,95.445µm
net890,95.195µm
net44,95.15µm
net688,95.11µm
net490,95.1µm
net354,95µm
net676,94.74µm
net226,94.58µm
_07934_,94.52µm
_03217_,94.51µm
net971,94.46µm
coeff_force_packed\[32\],94.44µm
net233,94.365µm
net670,94.315µm
net990,94.135µm
net988,93.885µm
net753,93.705µm
net975,93.61µm
u_debug_unit.error_signal_sync\[0\],93.56µm
net546,93.425µm
net497,93.295µm
_03261_,93.265µm
u_LMS.w\[8\]\[24\],93.205µm
net440,93.07µm
_03414_,93.02µm
u_LMS.w\[2\]\[24\],93.02µm
_03061_,92.94µm
net653,92.875µm
net998,92.78µm
net558,92.765µm
net801,92.7µm
net28,92.645µm
net835,92.345µm
net777,92.305µm
_07759_,92.22µm
u_LMS.x_r\[5\]\[3\],92.19µm
clknet_3_0__leaf_spi_sclk,92.09µm
net705,91.935µm
_03479_,91.93µm
net629,91.92µm
_03280_,91.81µm
u_FIR.w\[2\]\[0\],91.705µm
net608,91.675µm
u_FIR.sum\[3\]\[1\],91.66µm
net254,91.63µm
net652,91.625µm
net726,91.615µm
net46,91.61µm
_03250_,91.555µm
net946,91.465µm
_08497_,91.46µm
net796,91.44µm
_07838_,91.335µm
net938,91.315µm
net433,91.215µm
net1026,91.14µm
net317,91.1µm
u_FIR.w\[0\]\[0\],91.08µm
_06587_,90.87µm
net355,90.72µm
net595,90.665µm
_03449_,90.45µm
net818,90.205µm
net118,90.165µm
net1038,90.145µm
_03506_,90.14µm
_03567_,90.08µm
_03588_,90.055µm
net813,89.94µm
net821,89.775µm
net875,89.375µm
_03249_,89.29µm
coeff_force_packed\[57\],89.11µm
coeff_force_packed\[33\],88.735µm
_03263_,88.73µm
net995,88.47µm
net804,88.455µm
net437,88.385µm
net566,88.175µm
net513,88.005µm
net930,87.995µm
_03236_,87.68µm
net26,87.67µm
net441,87.57µm
u_debug_unit.mon_w2_sync\[2\],87.56µm
net702,87.475µm
u_LMS.w\[1\]\[13\],87.43µm
_01094_,87.415µm
net589,87.34µm
_07917_,87.33µm
