net,length_um
clknet_0_clkA,1.4697mm
_08068_,817.035µm
net129,761.36µm
net126,757.795µm
net396,736.685µm
net1054,698.405µm
net260,686.235µm
net430,629.94µm
net377,598.715µm
_07971_,592.495µm
net1004,584.14µm
_07973_,583.005µm
net424,569.735µm
_08494_,569.605µm
net231,561.815µm
net141,552.82µm
clkA,551.77µm
net910,550.76µm
net923,540.38µm
net826,539.775µm
net244,539.26µm
net240,535.435µm
net571,510.215µm
net884,504.77µm
net162,492.17µm
net376,477.28µm
net147,476.56µm
net180,472.725µm
net183,461.58µm
net470,461.21µm
net956,459.405µm
net331,458.35µm
u_FIR.x_reg\[4\],452.95µm
net166,447.585µm
u_FIR.i_enable,436.115µm
_07941_,429.4µm
net855,428.13µm
net163,425.19µm
net212,419.25µm
net127,411.39µm
net94,408.23µm
net184,405.14µm
net242,399.4µm
net200,398.425µm
net1016,398.115µm
_07723_,397.59µm
net383,395.15µm
net274,394.075µm
net1053,389.07µm
_03353_,388.635µm
net91,386.815µm
clknet_4_10_0_clkA,384.34µm
net941,381.355µm
_07972_,377.8µm
net142,376.03µm
_08101_,373.64µm
net970,372.39µm
net258,370.8µm
_07721_,369.54µm
net954,369.16µm
net456,368.81µm
net964,367.875µm
net198,366.435µm
u_FIR.x_reg\[6\],365.535µm
_07923_,364.11µm
u_LMS.i_enable,359.37µm
u_FIR.x_reg\[2\],358.975µm
_07922_,358.83µm
net168,357.67µm
net98,357.255µm
net1005,356.4µm
net117,356.25µm
net261,355.015µm
_08102_,354.44µm
net378,352.9µm
net1019,348.525µm
_07986_,348.135µm
_07715_,344.865µm
net203,344.5µm
_07719_,343.985µm
net1048,343.525µm
clknet_4_2_0_clkA,338.695µm
net165,337.15µm
net199,336.875µm
_07942_,334.885µm
net942,333.41µm
net940,333.165µm
clknet_4_8_0_clkA,332.91µm
net485,332.695µm
net128,330.365µm
net476,325.34µm
net479,323.92µm
net257,322.89µm
_07991_,322.465µm
net102,321.55µm
_07725_,319.81µm
net144,315.675µm
net201,311.775µm
net178,310.325µm
_07987_,310.16µm
_01657_,309.065µm
net265,306.685µm
net421,305.96µm
_07717_,305.36µm
net181,302.665µm
net423,301.88µm
net583,299.99µm
net197,299.685µm
net455,298.275µm
net190,296.67µm
u_FIR.sum\[8\]\[18\],294.335µm
net367,293.18µm
net834,292.025µm
net161,289.74µm
_07992_,289.575µm
net475,288.915µm
net248,288.03µm
_07966_,287.335µm
net1042,287.085µm
net429,286.225µm
net146,286.15µm
clknet_4_0_0_clkA,284.8µm
net87,281.785µm
net221,281.66µm
net364,281.325µm
net481,281.065µm
net101,280.08µm
_08554_,278.66µm
net966,276.28µm
net171,275.875µm
clknet_leaf_32_clkA,275.43µm
net134,275.005µm
net380,274.695µm
net748,273.995µm
net1003,273.865µm
net269,273.04µm
net253,272.535µm
_03258_,271.795µm
_08493_,268.68µm
net136,267.86µm
net49,267.63µm
net330,266.96µm
net93,265.48µm
net164,265.27µm
net960,262.57µm
net105,261.905µm
coeff_force_packed\[48\],261.59µm
net472,260.765µm
clknet_4_11_0_clkA,260.12µm
net241,260.05µm
net107,259.94µm
_03281_,259.7µm
net871,259.055µm
net153,258.18µm
net86,256.23µm
net211,256.185µm
net740,255.775µm
net565,254.195µm
net187,253.86µm
spi_sclk,253.81µm
net851,252.53µm
_03274_,251.655µm
net372,251.64µm
net2,251.26µm
_02752_,250.38µm
net556,250.335µm
net922,249.13µm
net213,247.685µm
_03257_,246.81µm
_03324_,246.765µm
net477,245.885µm
net883,244.42µm
net891,244.04µm
net461,243.705µm
clknet_leaf_4_clkA,241.5µm
net741,241.355µm
_07975_,240.765µm
net742,240.275µm
net103,239.7µm
net650,239.205µm
clknet_4_1_0_clkA,238.915µm
net90,238.545µm
net170,238.435µm
net655,237.97µm
net657,237.755µm
net369,237.15µm
u_FIR.w\[6\]\[5\],237.055µm
net112,236.815µm
clknet_leaf_1_clkA,235.65µm
net525,235.145µm
coeff_force_packed\[42\],234.93µm
u_FIR.w\[6\]\[6\],234.9µm
net1047,234.48µm
net858,234.335µm
_07913_,234.26µm
net873,233.58µm
net1039,232.54µm
net262,231.935µm
clknet_leaf_9_clkA,230.775µm
net217,229.97µm
_03256_,229.685µm
net137,229.685µm
net541,229.225µm
clknet_4_7_0_clkA,228.96µm
net1052,227.505µm
net208,227.215µm
net169,226.915µm
net249,226.515µm
net174,226.395µm
net151,225.64µm
net304,225.43µm
net895,225.38µm
_02847_,224.59µm
net754,224.14µm
net96,224.12µm
net524,223.4µm
clknet_4_12_0_clkA,223.255µm
net298,223.215µm
net719,223.075µm
net1044,222.82µm
_07915_,221.975µm
net845,221.935µm
net266,221.625µm
coeff_force_packed\[15\],221.605µm
net752,220.505µm
net914,220.5µm
net431,219.96µm
net979,219.705µm
net658,219.595µm
net530,219.565µm
net245,219.41µm
net268,219.34µm
_08492_,219.33µm
net750,218.16µm
net365,217.8µm
net840,217.52µm
net981,217.45µm
net869,217.33µm
net116,216.995µm
net656,216.95µm
net820,216.135µm
net140,215.89µm
net191,215.835µm
net239,215.83µm
net901,215.25µm
net560,214.83µm
clknet_leaf_6_clkA,214.24µm
net816,214.235µm
clknet_4_5_0_clkA,213.93µm
net907,213.83µm
net53,213.515µm
_00971_,212.83µm
net80,211.98µm
clknet_4_4_0_clkA,211.445µm
net825,211.345µm
net387,211.04µm
net172,210.29µm
_07874_,209.865µm
net394,209.855µm
net694,209.685µm
net836,209.265µm
net236,208.835µm
clknet_leaf_49_clkA,208.415µm
net853,208.09µm
clknet_leaf_12_clkA,207.795µm
clknet_0_spi_sclk,207.3µm
net683,207.09µm
net794,207.055µm
_07901_,206.855µm
clknet_leaf_2_clkA,206.77µm
_07892_,206.69µm
net648,206.265µm
_02765_,206.01µm
_03226_,205.895µm
clknet_leaf_39_clkA,205.65µm
net192,205.625µm
net173,205.61µm
net111,205.215µm
net160,204.985µm
net893,204.74µm
net232,204.65µm
net370,204.54µm
net576,204.24µm
u_LMS.x_r\[4\]\[6\],204.13µm
net854,203.885µm
clknet_leaf_63_clkA,203.67µm
net605,203.365µm
