Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_145_1119,VSS,Metal1,557.5200,574.5600,0.000000
FILLER_145_1115,VSS,Metal1,556.3080,574.1830,0.000000
FILLER_145_1108,VSS,Metal1,553.6860,574.0990,0.000000
FILLER_145_1101,VSS,Metal1,550.3260,574.0990,0.000000
FILLER_145_1094,VSS,Metal1,546.9660,574.0990,0.000000
FILLER_145_1087,VSS,Metal1,543.6060,574.0990,0.000000
FILLER_145_1080,VSS,Metal1,540.2460,574.0990,0.000000
FILLER_145_1073,VSS,Metal1,536.8860,574.0990,0.000000
FILLER_145_1066,VSS,Metal1,533.5260,574.0990,0.000000
FILLER_145_1059,VSS,Metal1,530.1660,574.0990,0.000000
FILLER_145_1052,VSS,Metal1,526.8060,574.0990,0.000000
FILLER_145_1045,VSS,Metal1,523.4460,574.0990,0.000000
FILLER_145_1038,VSS,Metal1,520.0860,574.0990,0.000000
FILLER_145_1031,VSS,Metal1,516.7260,574.0990,0.000000
FILLER_145_1024,VSS,Metal1,513.3660,574.0990,0.000000
FILLER_145_1017,VSS,Metal1,510.0060,574.0990,0.000000
FILLER_145_1010,VSS,Metal1,506.6460,574.0990,0.000000
FILLER_145_1003,VSS,Metal1,503.2860,574.0990,0.000000
FILLER_145_996,VSS,Metal1,499.9260,574.0990,0.000000
FILLER_145_989,VSS,Metal1,496.5660,574.0990,0.000000
FILLER_145_982,VSS,Metal1,493.2060,574.0990,0.000000
FILLER_145_975,VSS,Metal1,489.8460,574.0990,0.000000
FILLER_145_968,VSS,Metal1,486.4860,574.0990,0.000000
FILLER_145_961,VSS,Metal1,483.1260,574.0990,0.000000
FILLER_145_954,VSS,Metal1,479.7660,574.0990,0.000000
FILLER_145_947,VSS,Metal1,476.4060,574.0990,0.000000
FILLER_145_940,VSS,Metal1,473.0460,574.0990,0.000000
FILLER_145_933,VSS,Metal1,469.6860,574.0990,0.000000
FILLER_145_926,VSS,Metal1,466.3260,574.0990,0.000000
FILLER_145_919,VSS,Metal1,462.9660,574.0990,0.000000
FILLER_145_912,VSS,Metal1,459.6060,574.0990,0.000000
FILLER_145_905,VSS,Metal1,456.2460,574.0990,0.000000
FILLER_145_898,VSS,Metal1,452.8860,574.0990,0.000000
FILLER_145_891,VSS,Metal1,449.5260,574.0990,0.000000
FILLER_145_884,VSS,Metal1,446.1660,574.0990,0.000000
FILLER_145_877,VSS,Metal1,442.8060,574.0990,0.000000
FILLER_145_870,VSS,Metal1,439.4460,574.0990,0.000000
FILLER_145_863,VSS,Metal1,436.0860,574.0990,0.000000
FILLER_145_855,VSS,Metal1,431.5080,574.1830,0.000000
FILLER_145_848,VSS,Metal1,428.8860,574.0990,0.000000
FILLER_145_841,VSS,Metal1,425.5260,574.0990,0.000000
FILLER_145_834,VSS,Metal1,422.1660,574.0990,0.000000
FILLER_145_820,VSS,Metal1,414.2400,574.5600,0.000001
FILLER_145_813,VSS,Metal1,412.0860,574.0990,0.000001
FILLER_145_806,VSS,Metal1,408.7260,574.0990,0.000001
FILLER_145_799,VSS,Metal1,405.3660,574.0990,0.000001
FILLER_145_792,VSS,Metal1,402.0060,574.0990,0.000001
FILLER_145_785,VSS,Metal1,398.6460,574.0990,0.000002
FILLER_145_778,VSS,Metal1,395.2860,574.0990,0.000002
FILLER_145_771,VSS,Metal1,391.9260,574.0990,0.000002
FILLER_145_764,VSS,Metal1,388.5660,574.0990,0.000002
FILLER_145_757,VSS,Metal1,385.2060,574.0990,0.000002
FILLER_145_750,VSS,Metal1,381.8460,574.0990,0.000002
FILLER_145_743,VSS,Metal1,378.4860,574.0990,0.000003
FILLER_145_736,VSS,Metal1,375.1260,574.0990,0.000003
FILLER_145_729,VSS,Metal1,371.7660,574.0990,0.000003
FILLER_145_722,VSS,Metal1,368.4060,574.0990,0.000003
FILLER_145_715,VSS,Metal1,365.0460,574.0990,0.000003
FILLER_145_709,VSS,Metal1,360.9600,574.5600,0.000003
FILLER_145_703,VSS,Metal1,358.0800,574.5600,0.000002
FILLER_145_699,VSS,Metal1,356.6280,574.1830,0.000002
FILLER_145_692,VSS,Metal1,354.0060,574.0990,0.000001
FILLER_145_685,VSS,Metal1,350.6460,574.0990,0.000001
FILLER_145_678,VSS,Metal1,347.2860,574.0990,0.000001
FILLER_145_671,VSS,Metal1,343.9260,574.0990,0.000000
FILLER_145_664,VSS,Metal1,340.5660,574.0990,0.000000
FILLER_145_657,VSS,Metal1,337.2060,574.0990,0.000000
FILLER_145_650,VSS,Metal1,333.8460,574.0990,0.000000
FILLER_145_643,VSS,Metal1,330.4860,574.0990,0.000000
FILLER_145_636,VSS,Metal1,327.1260,574.0990,0.000000
FILLER_145_629,VSS,Metal1,323.7660,574.0990,0.000000
FILLER_145_621,VSS,Metal1,319.1880,574.1830,0.000000
FILLER_145_614,VSS,Metal1,316.5660,574.0990,0.000000
FILLER_145_607,VSS,Metal1,313.2060,574.0990,0.000000
FILLER_145_600,VSS,Metal1,309.8460,574.0990,0.000000
FILLER_145_589,VSS,Metal1,304.5660,574.0990,0.000000
FILLER_145_582,VSS,Metal1,301.2060,574.0990,0.000000
FILLER_145_575,VSS,Metal1,297.8460,574.0990,0.000000
FILLER_145_568,VSS,Metal1,294.4860,574.0990,0.000000
FILLER_145_561,VSS,Metal1,291.1260,574.0990,0.000000
FILLER_145_554,VSS,Metal1,287.7660,574.0990,0.000000
FILLER_145_547,VSS,Metal1,284.4060,574.0990,0.000000
FILLER_145_540,VSS,Metal1,281.0460,574.0990,0.000000
FILLER_145_533,VSS,Metal1,277.6860,574.0990,0.000000
FILLER_145_526,VSS,Metal1,274.3260,574.0990,0.000000
FILLER_145_519,VSS,Metal1,270.9660,574.0990,0.000000
FILLER_145_512,VSS,Metal1,267.6060,574.0990,0.000000
FILLER_145_505,VSS,Metal1,264.2460,574.0990,0.000000
FILLER_145_494,VSS,Metal1,258.9660,574.0990,0.000000
FILLER_145_487,VSS,Metal1,255.6060,574.0990,0.000000
FILLER_145_480,VSS,Metal1,252.2460,574.0990,0.000000
FILLER_145_473,VSS,Metal1,248.8860,574.0990,0.000000
FILLER_145_465,VSS,Metal1,244.3080,574.1830,0.000000
FILLER_145_458,VSS,Metal1,241.6860,574.0990,0.000000
FILLER_145_451,VSS,Metal1,238.3260,574.0990,0.000000
FILLER_145_444,VSS,Metal1,234.9660,574.0990,0.000000
FILLER_145_433,VSS,Metal1,229.6860,574.0990,0.000000
FILLER_145_426,VSS,Metal1,226.3260,574.0990,0.000000
FILLER_145_419,VSS,Metal1,222.9660,574.0990,0.000000
FILLER_145_414,VSS,Metal1,219.1200,574.5600,0.000000
FILLER_145_410,VSS,Metal1,217.9080,574.1830,0.000000
FILLER_145_403,VSS,Metal1,215.2860,574.0990,0.000000
FILLER_145_396,VSS,Metal1,211.9260,574.0990,0.000000
FILLER_145_389,VSS,Metal1,208.5660,574.0990,0.000000
FILLER_145_382,VSS,Metal1,205.2060,574.0990,0.000000
FILLER_145_375,VSS,Metal1,201.8460,574.0990,0.000000
FILLER_145_368,VSS,Metal1,198.4860,574.0990,0.000000
FILLER_145_361,VSS,Metal1,195.1260,574.0990,0.000000
FILLER_145_354,VSS,Metal1,191.7660,574.0990,0.000000
FILLER_145_347,VSS,Metal1,188.4060,574.0990,0.000000
FILLER_145_340,VSS,Metal1,185.0460,574.0990,0.000000
FILLER_145_333,VSS,Metal1,181.6860,574.0990,0.000000
FILLER_145_326,VSS,Metal1,178.3260,574.0990,0.000000
FILLER_145_319,VSS,Metal1,174.9660,574.0990,0.000000
FILLER_145_312,VSS,Metal1,171.6060,574.0990,0.000000
FILLER_145_305,VSS,Metal1,168.2460,574.0990,0.000000
FILLER_145_298,VSS,Metal1,164.8860,574.0990,0.000000
FILLER_145_291,VSS,Metal1,161.5260,574.0990,0.000000
FILLER_145_284,VSS,Metal1,158.1660,574.0990,0.000000
FILLER_145_277,VSS,Metal1,154.8060,574.0990,0.000000
FILLER_145_272,VSS,Metal1,150.9600,574.5600,0.000000
FILLER_145_270,VSS,Metal1,150.2400,574.5600,0.000000
FILLER_145_263,VSS,Metal1,148.0860,574.0990,0.000000
FILLER_145_256,VSS,Metal1,144.7260,574.0990,0.000000
FILLER_145_249,VSS,Metal1,141.3660,574.0990,0.000000
FILLER_145_242,VSS,Metal1,138.0060,574.0990,0.000000
FILLER_145_235,VSS,Metal1,134.6460,574.0990,0.000000
FILLER_145_228,VSS,Metal1,131.2860,574.0990,0.000000
FILLER_145_221,VSS,Metal1,127.9260,574.0990,0.000000
FILLER_145_214,VSS,Metal1,124.5660,574.0990,0.000000
FILLER_145_207,VSS,Metal1,121.2060,574.0990,0.000000
FILLER_145_200,VSS,Metal1,117.8460,574.0990,0.000000
FILLER_145_193,VSS,Metal1,114.4860,574.0990,0.000000
FILLER_145_186,VSS,Metal1,111.1260,574.0990,0.000000
FILLER_145_179,VSS,Metal1,107.7660,574.0990,0.000000
FILLER_145_174,VSS,Metal1,103.9200,574.5600,0.000000
FILLER_145_170,VSS,Metal1,102.7080,574.1830,0.000000
FILLER_145_163,VSS,Metal1,100.0860,574.0990,0.000000
FILLER_145_156,VSS,Metal1,96.7260,574.0990,0.000000
FILLER_145_149,VSS,Metal1,93.3660,574.0990,0.000000
FILLER_145_141,VSS,Metal1,88.7880,574.1830,0.000000
FILLER_145_133,VSS,Metal1,84.9480,574.1830,0.000000
FILLER_145_126,VSS,Metal1,82.3260,574.0990,0.000000
FILLER_145_119,VSS,Metal1,78.9660,574.0990,0.000000
FILLER_145_112,VSS,Metal1,75.6060,574.0990,0.000000
FILLER_145_105,VSS,Metal1,72.2460,574.0990,0.000000
FILLER_145_98,VSS,Metal1,68.8860,574.0990,0.000000
FILLER_145_91,VSS,Metal1,65.5260,574.0990,0.000000
FILLER_145_84,VSS,Metal1,62.1660,574.0990,0.000000
FILLER_145_77,VSS,Metal1,58.8060,574.0990,0.000000
FILLER_145_70,VSS,Metal1,55.4460,574.0990,0.000000
FILLER_145_63,VSS,Metal1,52.0860,574.0990,0.000000
FILLER_145_56,VSS,Metal1,48.7260,574.0990,0.000000
FILLER_145_49,VSS,Metal1,45.3660,574.0990,0.000000
FILLER_145_42,VSS,Metal1,42.0060,574.0990,0.000000
FILLER_145_35,VSS,Metal1,38.6460,574.0990,0.000000
FILLER_145_28,VSS,Metal1,35.2860,574.0990,0.000000
FILLER_145_21,VSS,Metal1,31.9260,574.0990,0.000000
FILLER_145_14,VSS,Metal1,28.5660,574.0990,0.000000
FILLER_145_7,VSS,Metal1,25.2060,574.0990,0.000000
FILLER_145_0,VSS,Metal1,21.8460,574.0990,0.000000
FILLER_144_1119,VSS,Metal1,557.5200,567.0000,0.000001
FILLER_144_1117,VSS,Metal1,556.8000,567.0000,0.000001
FILLER_144_1110,VSS,Metal1,554.6460,567.4600,0.000001
FILLER_144_1103,VSS,Metal1,551.2860,567.4600,0.000001
FILLER_144_1096,VSS,Metal1,547.9260,567.4600,0.000001
FILLER_144_1089,VSS,Metal1,544.5660,567.4600,0.000001
FILLER_144_1082,VSS,Metal1,541.2060,567.4600,0.000001
FILLER_144_1075,VSS,Metal1,537.8460,567.4600,0.000001
FILLER_144_1068,VSS,Metal1,534.4860,567.4600,0.000001
FILLER_144_1061,VSS,Metal1,531.1260,567.4600,0.000001
FILLER_144_1054,VSS,Metal1,527.7660,567.4600,0.000001
FILLER_144_1047,VSS,Metal1,524.4060,567.4600,0.000001
FILLER_144_1040,VSS,Metal1,521.0460,567.4600,0.000001
FILLER_144_1033,VSS,Metal1,517.6860,567.4600,0.000001
FILLER_144_1026,VSS,Metal1,514.3260,567.4600,0.000001
