Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_145_1119,VDD,Metal1,557.5200,570.7800,1.199999
FILLER_145_1115,VDD,Metal1,556.3310,571.3760,1.199999
FILLER_145_1108,VDD,Metal1,553.6890,571.3780,1.199999
FILLER_145_1101,VDD,Metal1,550.3290,571.3780,1.199999
FILLER_145_1094,VDD,Metal1,546.9690,571.3780,1.199999
FILLER_145_1087,VDD,Metal1,543.6090,571.3780,1.199999
FILLER_145_1080,VDD,Metal1,540.2490,571.3780,1.199999
FILLER_145_1073,VDD,Metal1,536.8890,571.3780,1.199999
FILLER_145_1066,VDD,Metal1,533.5290,571.3780,1.199999
FILLER_145_1059,VDD,Metal1,530.1690,571.3780,1.199999
FILLER_145_1052,VDD,Metal1,526.8090,571.3780,1.199999
FILLER_145_1045,VDD,Metal1,523.4490,571.3780,1.199999
FILLER_145_1038,VDD,Metal1,520.0890,571.3780,1.199999
FILLER_145_1031,VDD,Metal1,516.7290,571.3780,1.200000
FILLER_145_1024,VDD,Metal1,513.3690,571.3780,1.200000
FILLER_145_1017,VDD,Metal1,510.0090,571.3780,1.200000
FILLER_145_1010,VDD,Metal1,506.6490,571.3780,1.200000
FILLER_145_1003,VDD,Metal1,503.2890,571.3780,1.200000
FILLER_145_996,VDD,Metal1,499.9290,571.3780,1.200000
FILLER_145_989,VDD,Metal1,496.5690,571.3780,1.200000
FILLER_145_982,VDD,Metal1,493.2090,571.3780,1.200000
FILLER_145_975,VDD,Metal1,489.8490,571.3780,1.200000
FILLER_145_968,VDD,Metal1,486.4890,571.3780,1.200000
FILLER_145_961,VDD,Metal1,483.1290,571.3780,1.199999
FILLER_145_954,VDD,Metal1,479.7690,571.3780,1.199999
FILLER_145_947,VDD,Metal1,476.4090,571.3780,1.199994
FILLER_145_940,VDD,Metal1,473.0490,571.3780,1.199993
FILLER_145_933,VDD,Metal1,469.6890,571.3780,1.199947
FILLER_145_926,VDD,Metal1,466.3290,571.3780,1.199946
FILLER_145_919,VDD,Metal1,462.9690,571.3780,1.199946
FILLER_145_912,VDD,Metal1,459.6090,571.3780,1.199946
FILLER_145_905,VDD,Metal1,456.2490,571.3780,1.199942
FILLER_145_898,VDD,Metal1,452.8890,571.3780,1.199942
FILLER_145_891,VDD,Metal1,449.5290,571.3780,1.199942
FILLER_145_884,VDD,Metal1,446.1690,571.3780,1.199941
FILLER_145_877,VDD,Metal1,442.8090,571.3780,1.199941
FILLER_145_870,VDD,Metal1,439.4490,571.3780,1.199941
FILLER_145_863,VDD,Metal1,436.0890,571.3780,1.199941
FILLER_145_855,VDD,Metal1,431.5310,571.3760,1.199941
FILLER_145_848,VDD,Metal1,428.8890,571.3780,1.199989
FILLER_145_841,VDD,Metal1,425.5290,571.3780,1.199990
FILLER_145_834,VDD,Metal1,422.1690,571.3780,1.199991
