net,length_um
clknet_0_clkA,1.551195mm
net1043,942.685µm
_08068_,938.53µm
net251,699.835µm
net124,676.515µm
net216,666.68µm
_03357_,630.405µm
net126,597.03µm
net123,592.755µm
net457,584.19µm
net234,578.195µm
_07971_,575.64µm
_07973_,567.72µm
net367,559.885µm
net411,558.185µm
net158,547.345µm
net942,545.81µm
clkA,520.99µm
net410,509.74µm
net871,509.72µm
net550,484.085µm
net911,479.905µm
net929,474.505µm
net957,470.72µm
_07917_,468.955µm
net196,447.275µm
_07923_,443.91µm
_08494_,441.48µm
net163,438.16µm
net556,431.255µm
net160,426.43µm
net237,425.84µm
net148,417.57µm
net105,414.285µm
net174,412.135µm
net89,412.06µm
u_FIR.x_reg\[6\],411.795µm
_07974_,411.77µm
net249,411.035µm
net194,410.035µm
_07922_,409.39µm
net321,402.7µm
_07986_,402.295µm
net162,401.635µm
net141,401.495µm
net178,390.285µm
_07916_,388.53µm
net137,380.695µm
net97,378.93µm
net125,377.015µm
net409,376.125µm
clknet_4_8_0_clkA,366.93µm
_08102_,365.555µm
u_FIR.x_reg\[2\],364.71µm
net1009,357.845µm
net385,347.44µm
_07723_,346.31µm
net179,345.225µm
_07972_,341.12µm
net440,338.5µm
net143,338µm
_07929_,336.82µm
net252,336.105µm
net462,333.755µm
u_FIR.x_reg\[4\],333.545µm
net470,333.385µm
net197,331.18µm
net199,325.095µm
_07928_,323.03µm
net466,319.275µm
net415,318.195µm
net266,317.825µm
net159,316.965µm
net885,316.685µm
u_FIR.x_reg\[1\],312.13µm
net88,311.71µm
_07721_,311.68µm
net941,310.13µm
net898,310µm
_07725_,309.11µm
net548,307.415µm
u_FIR.x_reg\[7\],304.93µm
net260,302.49µm
_07880_,301.795µm
net412,301.655µm
net102,298.865µm
net114,296.955µm
_07991_,296.925µm
net181,295.215µm
net82,295.08µm
net195,294.9µm
_08500_,293.705µm
_07882_,293.105µm
net877,292.655µm
net416,292.2µm
_01657_,291.53µm
net157,291.25µm
_07884_,288.82µm
net139,285.61µm
u_FIR.sum\[8\]\[18\],285.03µm
_07876_,284.75µm
_07719_,284.37µm
net1000,284.36µm
net514,281.495µm
_03353_,280.945µm
net239,280.18µm
_07715_,276.82µm
_03296_,275.53µm
_07959_,274.22µm
net187,273.525µm
net816,272.345µm
net236,272.105µm
net248,271.575µm
net175,271.425µm
_08501_,268.435µm
net940,267.015µm
net805,265.975µm
clknet_4_7_0_clkA,265.59µm
net111,263.03µm
_07878_,262.905µm
net472,262.22µm
_07717_,261.995µm
net808,259.615µm
net2,259.15µm
net109,258.335µm
net104,258.045µm
u_FIR.x_reg\[5\],257.89µm
clknet_4_10_0_clkA,256.12µm
_03308_,254.08µm
net414,254.035µm
net569,253.83µm
net243,253.765µm
_07987_,253.045µm
net376,251.38µm
u_FIR.w\[7\]\[6\],250.655µm
clknet_4_2_0_clkA,250.22µm
net140,248.795µm
net207,248.11µm
_07874_,248.105µm
net91,247.17µm
net1032,247.05µm
clknet_4_13_0_clkA,246.825µm
net464,246.345µm
net173,245.28µm
net831,245.055µm
clknet_4_0_0_clkA,245.045µm
clknet_leaf_14_clkA,244.305µm
net567,243.895µm
_08491_,242.605µm
net939,242.275µm
clknet_leaf_8_clkA,242.09µm
net152,237.695µm
net177,237.38µm
