net,length_um
clknet_leaf_2_clkA,237.22µm
net98,236.685µm
net265,236.615µm
net959,236.49µm
net889,236.195µm
net469,235.295µm
net459,235.025µm
net92,234.545µm
net95,234.12µm
net900,233.84µm
clknet_leaf_46_clkA,233.48µm
net549,233.29µm
coeff_force_packed\[48\],233.05µm
net108,232.955µm
net130,232.88µm
net220,232.765µm
net850,232.33µm
net837,232.165µm
net970,231.17µm
net221,231.025µm
net366,230.045µm
clknet_4_5_0_clkA,229.72µm
clknet_4_15_0_clkA,229.425µm
u_LMS.x_r\[1\]\[1\],229.3µm
net176,228.42µm
net1042,228.355µm
net928,227.73µm
net734,226.95µm
spi_sclk,226.24µm
u_FIR.w\[0\]\[6\],225.44µm
net731,225.08µm
net180,224.305µm
net439,223.11µm
net539,222.175µm
net167,221.175µm
net910,218.875µm
net186,218.48µm
net935,218.155µm
net242,217.635µm
_01624_,217.2µm
net208,217.18µm
net644,217.155µm
net690,216.94µm
_07864_,215.72µm
_07844_,214.1µm
_03274_,213.39µm
net859,212.155µm
net461,212.125µm
coeff_force_packed\[12\],211.91µm
net486,211.405µm
clknet_leaf_63_clkA,211.35µm
_08493_,211.23µm
net238,210.985µm
net235,210.66µm
net222,210.55µm
net1041,210.535µm
net1008,210.29µm
net53,209.595µm
net138,209.315µm
net94,209.08µm
u_FIR.w\[7\]\[4\],208.985µm
net372,207.79µm
net320,206.865µm
net1003,206.59µm
net169,205.61µm
_03278_,205.17µm
net146,204.76µm
net870,204.3µm
net429,204.265µm
_01567_,204.045µm
_01577_,203.94µm
_09643_,203.89µm
_09591_,203.7µm
_01571_,203.195µm
u_LMS.x_r\[1\]\[7\],202.63µm
net711,202.48µm
net846,202.25µm
clknet_leaf_31_clkA,202.16µm
net209,201.33µm
net825,201.24µm
_08554_,200.605µm
_00971_,200.435µm
clknet_leaf_10_clkA,200.315µm
clknet_leaf_7_clkA,199.635µm
net356,199.63µm
_07966_,199.47µm
net946,199.46µm
net547,198.795µm
net952,197.845µm
_10168_,197.805µm
_09584_,197.47µm
_09589_,197.36µm
_09593_,196.97µm
net294,196.7µm
net909,196.685µm
clknet_leaf_39_clkA,196.57µm
coeff_force_packed\[15\],196.47µm
net81,196.465µm
_01565_,196.325µm
_09596_,196.01µm
net362,195.975µm
net202,195.945µm
coeff_force_packed\[42\],195.845µm
net969,195.71µm
_01579_,195.45µm
net861,195.235µm
net833,194.905µm
_01574_,194.795µm
net417,194.68µm
net215,194.11µm
u_spi_slave.tx_shift\[15\],193.68µm
net640,193.13µm
net232,193.04µm
net296,192.92µm
net786,192.84µm
net254,192.81µm
net87,192.345µm
net52,192.285µm
net184,192.25µm
net360,192.015µm
_03273_,191.925µm
net96,191.755µm
u_FIR.w\[7\]\[3\],191.485µm
net496,191.14µm
clknet_leaf_50_clkA,190.965µm
net904,190.69µm
net451,190.59µm
net838,190.295µm
spi_wdata\[1\],189.97µm
net460,189.745µm
_09598_,189.39µm
net182,189.295µm
net979,189.165µm
_03405_,188.875µm
_01559_,188.82µm
net875,188.61µm
net645,188.53µm
net90,188.365µm
_07892_,188.335µm
net646,188.225µm
_03434_,188.19µm
net901,187.92µm
clknet_leaf_45_clkA,187.725µm
coeff_force_packed\[18\],187.54µm
net800,187.485µm
clknet_4_6_0_clkA,186.84µm
net204,186.79µm
net874,186.56µm
_09587_,186.26µm
net695,185.73µm
net247,185.28µm
net967,184.53µm
clknet_0_spi_sclk,184.2µm
_10172_,184.155µm
net735,183.57µm
clknet_4_1_0_clkA,183.46µm
net128,183.43µm
clknet_leaf_5_clkA,183.22µm
net240,182.6µm
clknet_4_9_0_clkA,182.19µm
net693,181.98µm
net804,181.935µm
net667,181.88µm
net882,181.85µm
net613,181.77µm
net836,181.64µm
net445,181.555µm
net1026,181.37µm
coeff_force_packed\[16\],180.45µm
net103,180.35µm
clknet_leaf_30_clkA,179.645µm
net161,179.36µm
net322,179.11µm
net1002,178.865µm
_03438_,178.77µm
net884,178.655µm
u_LMS.x_r\[1\]\[0\],178.625µm
_03257_,178.29µm
clknet_leaf_38_clkA,178.26µm
u_FIR.w\[2\]\[6\],177.81µm
net1036,177.54µm
u_FIR.w\[7\]\[1\],177.08µm
net851,176.755µm
net261,175.945µm
net171,175.91µm
_00978_,175.86µm
net48,175.84µm
_03416_,175.835µm
u_FIR.w\[6\]\[1\],175.525µm
net794,175.505µm
u_LMS.x_r\[1\]\[6\],175.4µm
clknet_leaf_0_clkA,175.1µm
net107,174.97µm
net468,174.78µm
net892,174.61µm
net79,174.57µm
_03226_,174.52µm
net878,174.455µm
net191,174.22µm
net193,173.78µm
net413,173.52µm
net920,173.25µm
coeff_force_packed\[8\],173.24µm
net508,172.17µm
_00974_,172.16µm
net291,171.595µm
_07889_,171.58µm
net166,170.775µm
net960,170.525µm
net262,170.31µm
net973,170.245µm
_00983_,169.485µm
net647,169.485µm
_00976_,169.2µm
_03407_,168.985µm
_02847_,168.86µm
clknet_leaf_32_clkA,168.725µm
net198,168.51µm
u_LMS.x_r\[1\]\[2\],168.34µm
coeff_force_packed\[14\],167.62µm
net233,167.54µm
_03315_,167.465µm
clknet_leaf_59_clkA,167.245µm
net669,167.23µm
net745,166.87µm
_03251_,166.825µm
net950,166.735µm
clknet_leaf_42_clkA,166.475µm
net85,166.39µm
_01031_,166.35µm
net1029,166.275µm
_07862_,166.16µm
net818,165.715µm
coeff_force_packed\[19\],164.99µm
_10174_,164.93µm
net285,164.78µm
net893,164.705µm
u_FIR.w\[1\]\[4\],164.505µm
net192,164.415µm
net844,164.07µm
net896,163.915µm
net499,163.73µm
net328,163.445µm
net843,163.41µm
clknet_leaf_28_clkA,163.29µm
net1005,162.855µm
net535,162.685µm
net717,162.635µm
clknet_4_4_0_clkA,162.565µm
_03324_,162.4µm
net759,162.34µm
net605,162.29µm
net375,162.265µm
net781,162.185µm
clknet_leaf_3_clkA,162.115µm
_10177_,161.885µm
_02752_,161.79µm
_07801_,161.755µm
u_LMS.w\[2\]\[24\],161.525µm
net978,161.475µm
net832,161.46µm
net834,161.18µm
_07842_,160.77µm
clknet_leaf_44_clkA,160.675µm
net863,160.495µm
net580,160.44µm
_03233_,160.415µm
net257,160.405µm
_01660_,159.98µm
clknet_leaf_13_clkA,159.895µm
_03250_,159.79µm
clknet_leaf_40_clkA,159.41µm
net172,159.305µm
net203,159.255µm
net847,159.145µm
net744,159.075µm
net568,159.025µm
net213,158.9µm
net255,158.835µm
clknet_leaf_41_clkA,158.69µm
net931,158.635µm
net389,158.425µm
net382,158.38µm
net611,158.37µm
net895,158.27µm
net359,158.22µm
net205,158.205µm
net770,158.115µm
net842,158.045µm
clknet_leaf_1_clkA,157.855µm
net1025,157.495µm
_03059_,157.475µm
net134,157.455µm
net908,156.91µm
net760,156.875µm
net51,156.775µm
net368,156.77µm
_00980_,156.63µm
net244,156.365µm
_03385_,156.01µm
net600,155.905µm
net165,155.77µm
net84,155.37µm
net631,155.01µm
net86,155µm
net50,154.94µm
clknet_leaf_54_clkA,154.885µm
clknet_leaf_62_clkA,154.795µm
_07799_,154.52µm
_03412_,154.495µm
clknet_4_3_0_clkA,154.45µm
net558,154.285µm
_10179_,154.11µm
net1037,154.06µm
net891,154.025µm
net227,153.83µm
net1033,153.365µm
net883,153.1µm
net365,152.865µm
net743,152.79µm
coeff_force_packed\[17\],152.785µm
_00985_,152.72µm
net156,152.705µm
spi_wdata\[5\],152.62µm
net937,152.555µm
spi_wdata\[0\],152.55µm
_03272_,152.355µm
net145,152.34µm
net705,152.335µm
net856,152.17µm
_03063_,152.16µm
clknet_leaf_29_clkA,152.14µm
_03404_,152.05µm
net658,151.7µm
net872,151.63µm
clknet_leaf_53_clkA,151.62µm
net456,151.6µm
net363,151.565µm
net290,151.47µm
_03301_,151.385µm
spi_wr_en,151.27µm
_07803_,151.04µm
net188,150.69µm
_03575_,150.615µm
clknet_4_14_0_clkA,150.51µm
net840,149.995µm
net200,149.825µm
net14,149.625µm
net225,149.625µm
coeff_force_packed\[11\],149.62µm
net779,149.58µm
net523,149.425µm
net1039,149.415µm
clknet_leaf_43_clkA,149.22µm
net353,149.055µm
net661,148.965µm
clknet_leaf_61_clkA,148.875µm
net696,148.71µm
net869,148.565µm
net129,148.385µm
net131,148.225µm
clknet_leaf_11_clkA,147.94µm
net857,147.85µm
net938,147.545µm
coeff_force_packed\[9\],147.485µm
net59,147.385µm
net933,147.19µm
net750,147.185µm
net211,147.06µm
net292,147µm
net381,146.99µm
_03268_,146.965µm
net603,146.84µm
clknet_leaf_52_clkA,146.69µm
net201,146.635µm
_01659_,146.505µm
clknet_leaf_16_clkA,146.495µm
net531,146.45µm
clknet_leaf_9_clkA,146.32µm
net598,146.315µm
net478,146.055µm
net135,145.94µm
clknet_leaf_57_clkA,145.94µm
coeff_force_packed\[20\],145.82µm
net357,145.795µm
net106,145.305µm
net626,145.27µm
net918,145.125µm
net155,145.025µm
spi_wdata\[4\],145.005µm
net465,144.99µm
_03410_,144.98µm
net132,144.965µm
_02251_,144.76µm
net147,144.625µm
net383,144.595µm
net820,144.525µm
net544,144.515µm
clknet_leaf_17_clkA,144.515µm
_07797_,144.51µm
_02170_,144.43µm
net945,144.43µm
net751,143.98µm
clknet_leaf_33_clkA,143.84µm
clknet_leaf_25_clkA,143.75µm
net691,143.735µm
clknet_leaf_15_clkA,143.7µm
net999,143.685µm
_09122_,143.42µm
clknet_leaf_18_clkA,143.33µm
coeff_force_packed\[41\],143.16µm
net876,142.985µm
net332,142.87µm
coeff_force_packed\[13\],142.65µm
clknet_leaf_12_clkA,142.63µm
net888,142.315µm
clknet_leaf_36_clkA,142.21µm
net318,142.15µm
clknet_leaf_56_clkA,141.77µm
u_LMS.x_r\[2\]\[7\],141.74µm
_02168_,141.67µm
net142,141.495µm
net776,141.355µm
coeff_force_packed\[46\],141.27µm
net471,141.255µm
net890,141.205µm
coeff_force_packed\[43\],141.14µm
_03252_,141.12µm
net772,140.8µm
spi_wdata\[3\],140.72µm
net578,140.69µm
u_debug_unit.mon_w2_sync\[4\],140.565µm
net218,140.24µm
net525,140.195µm
net823,139.995µm
clknet_leaf_26_clkA,139.965µm
net313,139.955µm
net361,139.675µm
net740,139.61µm
_07805_,139.59µm
net1011,139.485µm
net93,139.455µm
net185,139.455µm
net6,139.445µm
net19,139.355µm
net47,139.245µm
net112,139.235µm
net364,139.23µm
net37,139.2µm
clknet_leaf_6_clkA,139.175µm
coeff_force_packed\[44\],139.01µm
u_FIR.w\[6\]\[2\],139.005µm
clknet_leaf_58_clkA,138.79µm
net607,138.705µm
_07856_,138.67µm
net1001,138.48µm
net763,138.395µm
net903,138.365µm
net144,138.03µm
net787,138.02µm
_03223_,137.925µm
_03258_,137.925µm
_10181_,137.835µm
net12,137.76µm
u_LMS.x_r\[5\]\[5\],137.705µm
net867,137.61µm
net286,137.575µm
clknet_leaf_60_clkA,137.55µm
net293,137.325µm
net925,137.285µm
u_FIR.w\[2\]\[1\],137.21µm
net588,137.125µm
net615,136.96µm
u_LMS.x_r\[4\]\[6\],136.85µm
net311,136.755µm
net127,136.745µm
net42,136.64µm
u_FIR.w\[3\]\[3\],136.63µm
_03060_,136.57µm
clknet_leaf_47_clkA,136.325µm
_07785_,136.245µm
net674,136.135µm
clknet_4_12_0_clkA,136.065µm
net422,135.93µm
_03521_,135.88µm
net168,135.815µm
net860,135.67µm
net789,135.47µm
net809,135.455µm
net11,135.38µm
net224,135.35µm
net702,135.095µm
net826,135.06µm
net771,135.01µm
net475,134.995µm
net676,134.75µm
net38,134.585µm
_02811_,134.16µm
net154,134.08µm
u_debug_unit.mon_w2_sync\[6\],133.95µm
clknet_leaf_19_clkA,133.95µm
net80,133.94µm
net881,133.785µm
clknet_leaf_35_clkA,133.675µm
_09681_,133.64µm
coeff_force_packed\[22\],133.48µm
net458,133.435µm
net962,133.315µm
net629,133.135µm
clknet_leaf_23_clkA,133.095µm
net303,133.02µm
net384,133.015µm
_03485_,132.86µm
_01072_,132.855µm
net596,132.855µm
u_FIR.w\[1\]\[3\],132.77µm
coeff_force_packed\[35\],132.705µm
_03058_,132.66µm
net58,132.66µm
net374,132.6µm
_02163_,132.585µm
net503,132.11µm
u_FIR.w\[5\]\[4\],132.07µm
clknet_leaf_49_clkA,132.035µm
net855,131.81µm
net35,131.695µm
net670,131.69µm
_07960_,131.59µm
net899,131.58µm
net638,131.545µm
net100,131.525µm
net463,131.52µm
net287,131.435µm
clknet_4_11_0_clkA,131.245µm
u_FIR.w\[1\]\[5\],131.065µm
net812,130.515µm
net1031,130.405µm
_02216_,130.245µm
net217,130.14µm
_03256_,130.125µm
_07795_,130.1µm
net780,130.1µm
u_FIR.w\[1\]\[2\],130µm
_07854_,129.67µm
net747,129.49µm
net788,129.45µm
_03240_,129.315µm
_03070_,129.045µm
net672,129.025µm
_03224_,128.995µm
u_LMS.x_r\[5\]\[2\],128.92µm
net219,128.865µm
net815,128.64µm
u_LMS.x_r\[5\]\[4\],128.52µm
_02165_,128.46µm
clknet_leaf_48_clkA,128.37µm
u_FIR.w\[1\]\[6\],127.935µm
net526,127.85µm
net797,127.675µm
net741,127.6µm
net190,127.575µm
net866,127.345µm
net406,127.32µm
clknet_leaf_24_clkA,127.13µm
u_debug_unit.mon_w6_sync\[6\],126.97µm
net524,126.915µm
_08553_,126.91µm
net845,126.91µm
net136,126.845µm
net245,126.78µm
net752,126.695µm
_03539_,126.64µm
net990,126.595µm
net309,126.48µm
net467,126.075µm
net819,126.04µm
net698,125.96µm
clknet_leaf_34_clkA,125.915µm
coeff_force_packed\[10\],125.845µm
u_LMS.x_r\[4\]\[3\],125.65µm
net685,125.65µm
net301,125.275µm
u_FIR.w\[4\]\[6\],125.2µm
net594,125.025µm
clknet_leaf_37_clkA,125.025µm
net271,124.94µm
net288,124.89µm
net673,124.81µm
net724,124.745µm
net627,124.7µm
net24,124.695µm
net310,124.535µm
clknet_leaf_20_clkA,124.52µm
net822,124.465µm
net704,124.45µm
net541,124.395µm
net561,124.255µm
_03467_,124.23µm
u_FIR.w\[8\]\[0\],124.225µm
net354,124.03µm
_02760_,123.8µm
clknet_leaf_21_clkA,123.465µm
_02765_,123.12µm
u_FIR.w\[3\]\[2\],123.11µm
net666,122.955µm
_10183_,122.945µm
net718,122.86µm
_02276_,122.785µm
net164,122.605µm
net246,122.59µm
net223,122.565µm
_03333_,122.43µm
clknet_leaf_51_clkA,122.41µm
net404,122.39µm
_02160_,122.36µm
_03400_,122.23µm
u_LMS.x_r\[0\]\[3\],122.095µm
net777,122.07µm
net753,122.065µm
coeff_force_packed\[27\],122.025µm
net948,121.89µm
net854,121.67µm
net923,121.645µm
_03269_,121.445µm
net660,121.325µm
net708,121.285µm
net706,121.06µm
net350,120.805µm
net371,120.805µm
u_debug_unit.mon_w5_sync\[1\],120.76µm
net709,120.55µm
net858,120.52µm
_03567_,120.42µm
net373,120.35µm
net936,120.17µm
clknet_leaf_27_clkA,119.92µm
net1028,119.75µm
coeff_force_packed\[25\],119.705µm
u_debug_unit.mon_w1_sync\[6\],119.65µm
net10,119.565µm
net768,119.45µm
net214,119.43µm
net762,119.105µm
net49,118.935µm
_02154_,118.87µm
u_FIR.sum\[8\]\[11\],118.87µm
u_FIR.w\[5\]\[3\],118.84µm
net956,118.78µm
clknet_leaf_4_clkA,118.73µm
net495,118.725µm
net312,118.705µm
clknet_leaf_55_clkA,118.665µm
net319,118.605µm
u_FIR.w\[1\]\[1\],118.46µm
clknet_leaf_64_clkA,118.36µm
_03503_,118.22µm
net358,118.19µm
net971,118.125µm
u_FIR.w\[5\]\[2\],118.11µm
net83,117.495µm
u_FIR.w\[2\]\[2\],117.43µm
u_debug_unit.mon_w2_sync\[5\],117.37µm
_03563_,117.26µm
_03241_,117.23µm
net57,117.11µm
net880,117.095µm
net253,116.885µm
coeff_force_packed\[38\],116.84µm
net379,116.805µm
net229,116.66µm
_07737_,116.65µm
_02755_,116.295µm
net27,115.425µm
_02762_,115.165µm
_07860_,114.96µm
net1018,114.96µm
net922,114.91µm
net796,114.905µm
u_LMS.x_r\[6\]\[6\],114.67µm
net212,114.535µm
net559,114.48µm
u_FIR.w\[0\]\[2\],114.26µm
net577,114.17µm
_03067_,114.135µm
coeff_force_packed\[5\],114.065µm
net56,113.995µm
net380,113.94µm
net431,113.915µm
_02158_,113.89µm
net821,113.805µm
net258,113.69µm
coeff_force_packed\[21\],113.41µm
net101,113.41µm
net720,113.37µm
net32,113.04µm
_03249_,113.01µm
net378,112.99µm
_03347_,112.83µm
net1013,112.7µm
_07858_,112.69µm
_03276_,112.57µm
net314,112.37µm
_09702_,112.29µm
u_FIR.w\[3\]\[1\],112.285µm
_07897_,112.235µm
net110,112.15µm
net649,112.105µm
_07906_,112.06µm
net795,112µm
net370,111.795µm
net583,111.645µm
net700,111.505µm
u_FIR.w\[7\]\[5\],111.41µm
net865,111.405µm
_07783_,111.385µm
u_LMS.x_r\[4\]\[4\],111.23µm
u_FIR.w\[6\]\[4\],111.21µm
u_debug_unit.mon_w2_sync\[3\],111.19µm
net349,111.19µm
net40,111.18µm
net25,111.145µm
net43,110.965µm
net733,110.545µm
u_debug_unit.mon_w6_sync\[1\],110.49µm
net113,110.385µm
net8,110.265µm
net662,110.26µm
u_debug_unit.mon_w2_sync\[0\],110.165µm
net829,110.16µm
u_FIR.w\[6\]\[0\],110.065µm
net802,109.645µm
_03064_,109.525µm
net862,109.49µm
_02767_,109.35µm
net919,109.165µm
coeff_force_packed\[7\],109.1µm
net688,109µm
net622,108.8µm
u_debug_unit.mon_w6_sync\[2\],108.6µm
coeff_force_packed\[45\],108.265µm
net304,108.175µm
_07942_,108.05µm
net927,107.82µm
net428,107.59µm
u_debug_unit.mon_w5_sync\[6\],107.445µm
net153,107.445µm
net817,107.425µm
net170,107.335µm
net721,107.28µm
net1030,107.27µm
net974,107.02µm
net54,106.915µm
_07739_,106.75µm
net494,106.65µm
clknet_leaf_22_clkA,106.52µm
u_debug_unit.mon_w3_sync\[1\],106.38µm
net806,106.365µm
coeff_force_packed\[50\],106.21µm
net737,106.205µm
_07941_,106.07µm
net827,105.985µm
net769,105.92µm
u_LMS.x_r\[0\]\[7\],105.865µm
net566,105.795µm
net7,105.595µm
u_FIR.w\[0\]\[3\],105.4µm
coeff_force_packed\[30\],105.365µm
net926,105.19µm
u_FIR.w\[8\]\[6\],105.08µm
_03217_,104.75µm
net1,104.64µm
net26,104.64µm
net993,104.6µm
net643,104.515µm
_10879_,104.02µm
net1014,103.76µm
u_FIR.w\[2\]\[4\],103.69µm
_03429_,103.56µm
net905,103.56µm
u_debug_unit.mon_w3_sync\[3\],103.53µm
net307,103.415µm
_03253_,103.27µm
net45,103.195µm
u_FIR.w\[4\]\[4\],103.15µm
net635,103.09µm
_02757_,103.05µm
_07741_,102.85µm
net1006,102.815µm
net637,102.75µm
net656,102.655µm
net289,102.47µm
net487,102.255µm
_07824_,102.165µm
net151,102.15µm
net849,102.085µm
net540,102.035µm
_07775_,101.97µm
net689,101.935µm
net574,101.865µm
net716,101.845µm
net418,101.65µm
u_debug_unit.mon_w5_sync\[5\],101.54µm
net491,101.485µm
_01710_,101.455µm
net55,101.445µm
net924,101.07µm
u_debug_unit.error_signal_sync\[4\],100.88µm
net403,100.875µm
u_FIR.w\[0\]\[0\],100.83µm
_03271_,100.4µm
_03244_,100.39µm
net886,100.305µm
net934,100.23µm
net653,100.04µm
net678,99.815µm
u_FIR.w\[8\]\[2\],99.725µm
net841,99.71µm
_07765_,99.67µm
coeff_force_packed\[23\],99.67µm
net761,99.455µm
net958,99.11µm
net298,99.03µm
u_FIR.w\[5\]\[1\],99.025µm
net1019,98.645µm
_08524_,98.54µm
_10229_,98.41µm
net606,98.36µm
net981,98.08µm
net278,98.01µm
net664,97.97µm
u_debug_unit.error_signal_sync\[1\],97.88µm
net951,97.86µm
net921,97.855µm
net149,97.65µm
u_LMS.x_r\[5\]\[7\],97.58µm
u_LMS.x_r\[1\]\[4\],97.57µm
_06586_,97.515µm
net297,97.435µm
_03061_,97.365µm
net543,97.26µm
u_FIR.w\[4\]\[2\],97.105µm
net241,97.04µm
net799,96.995µm
_01094_,96.92µm
net315,96.765µm
net853,96.64µm
_07992_,96.465µm
_02871_,96.455µm
net557,96.29µm
net562,96.29µm
u_debug_unit.mon_w5_sync\[3\],96.25µm
net824,96.115µm
net575,96.085µm
net420,96.065µm
net473,96.005µm
u_LMS.x_r\[0\]\[4\],95.9µm
net1007,95.885µm
_08067_,95.82µm
net590,95.79µm
net206,95.735µm
net295,95.72µm
_03242_,95.66µm
net576,95.62µm
net17,95.565µm
net671,95.34µm
u_debug_unit.mon_w7_sync\[2\],95.325µm
net1010,95.03µm
u_FIR.w\[3\]\[4\],94.965µm
net902,94.815µm
net377,94.565µm
coeff_force_packed\[47\],94.52µm
net742,94.27µm
net707,94.185µm
_03370_,94.07µm
net323,94.055µm
_03270_,93.96µm
u_FIR.sum\[2\]\[12\],93.555µm
net997,93.545µm
net639,93.35µm
net994,93.33µm
net30,93.32µm
net505,93.215µm
net803,93.2µm
_04217_,93.19µm
u_debug_unit.mon_w5_sync\[2\],93.105µm
net887,93.025µm
net308,93.015µm
net828,92.91µm
net15,92.725µm
net694,92.685µm
net975,92.67µm
net651,92.425µm
net894,92.41µm
net961,92.385µm
coeff_force_packed\[49\],92.35µm
net722,92.19µm
net586,92.125µm
_09147_,92.11µm
_03066_,91.975µm
net684,91.945µm
u_debug_unit.error_signal_sync\[2\],91.86µm
net730,91.85µm
net579,91.53µm
net947,91.51µm
net610,91.37µm
net22,91.325µm
net710,91.15µm
_03450_,91.13µm
_03234_,90.915µm
_03248_,90.86µm
_03373_,90.825µm
u_LMS.w\[3\]\[24\],90.735µm
net28,90.7µm
_07901_,90.65µm
_03219_,90.635µm
net400,90.63µm
_08492_,90.6µm
clknet_leaf_65_clkA,90.5µm
_05952_,90.41µm
coeff_force_packed\[32\],90.225µm
coeff_force_packed\[58\],90.14µm
coeff_force_packed\[33\],90.13µm
net584,90.105µm
net587,90.055µm
net642,90.025µm
net949,89.845µm
net231,89.71µm
net317,89.61µm
_07743_,89.475µm
u_debug_unit.error_signal_sync\[3\],89.47µm
net513,89.365µm
net835,89.335µm
_07753_,89.31µm
u_FIR.w\[4\]\[1\],89.29µm
net614,89.21µm
net930,89.09µm
net811,89.08µm
net943,89.07µm
_03418_,89.065µm
net274,89.055µm
_07763_,88.99µm
_07735_,88.835µm
net545,88.81µm
net34,88.63µm
u_FIR.w\[0\]\[4\],88.46µm
net537,88.355µm
net1035,88.07µm
net992,87.935µm
net189,87.875µm
net483,87.87µm
net989,87.855µm
_07950_,87.79µm
_03227_,87.635µm
_03472_,87.61µm
net984,87.61µm
_10263_,87.41µm
_03228_,87.365µm
u_debug_unit.mon_w2_sync\[2\],87.32µm
_09678_,87.07µm
u_debug_unit.error_signal_sync\[0\],87.045µm
u_FIR.w\[8\]\[4\],87.02µm
u_debug_unit.mon_w2_sync\[1\],87.01µm
net150,86.715µm
u_LMS.x_r\[5\]\[3\],86.67µm
net585,86.655µm
net444,86.615µm
net680,86.27µm
net732,86.24µm
net599,86.235µm
net430,86.15µm
net452,86.035µm
_03506_,85.885µm
net259,85.845µm
u_FIR.w\[5\]\[6\],85.78µm
net351,85.735µm
_04540_,85.71µm
u_FIR.w\[4\]\[3\],85.635µm
_06587_,85.46µm
coeff_force_packed\[2\],85.46µm
coeff_force_packed\[29\],85.41µm
_03267_,85.395µm
net879,85.265µm
coeff_force_packed\[4\],85.21µm
net424,85.195µm
net387,85.165µm
net39,85.09µm
net306,85.09µm
net1027,85.035µm
net481,84.995µm
net916,84.9µm
u_LMS.x_r\[4\]\[2\],84.85µm
net783,84.75µm
_03280_,84.66µm
net386,84.435µm
net1022,84.26µm
net988,84.215µm
net757,84.105µm
coeff_force_packed\[37\],84.1µm
net280,84.055µm
net944,84.01µm
coeff_force_packed\[60\],83.88µm
net582,83.88µm
net652,83.84µm
net20,83.735µm
net511,83.705µm
u_LMS.w\[1\]\[24\],83.67µm
net277,83.66µm
net442,83.47µm
_03441_,83.42µm
_03435_,83.31µm
u_LMS.w\[1\]\[13\],83.17µm
net778,83.065µm
u_FIR.sum\[1\]\[9\],82.95µm
_07812_,82.935µm
net564,82.785µm
net504,82.74µm
net755,82.62µm
net267,82.4µm
_03568_,82.35µm
_07915_,82.21µm
u_LMS.w\[7\]\[24\],82.18µm
net917,82.1µm
net932,82.1µm
